Mã HP,Tên HP,Điểm,Số TC
CF320A,Tín hiệu và hệ thống,5.4,2
CF321A,Xử lý tín hiệu số,2.3,2
CS100,Tin đại cương,5.1,2
CS121,Ngôn ngữ lập trình,6.7,3
CS122,Lập trình hướng đối tượng,2.0,3
EC102,Nhập môn kinh tế học,4.4,2
GE100,Tiếng Anh cho người mới bắt đầu,5.8,2
GE101A,Tiếng Anh sơ cấp 1,5.8,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.1,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,5.1,2
GE204,Kỹ năng giao tiếp tiếng Anh 2,5.5,2
GF101,Tiếng Pháp 1,5.6,2
GF102,Tiếng Pháp 2,5.4,2
IM001,Kỹ năng CNTT cơ bản,7.2,0
IM201,Kỹ năng soạn thảo VB (MS office),5.2,3
IP402A,TT ngành Truyền thông và mạng máy tính,6.9,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.8,3
MA103,Số và cấu trúc đại số,3.3,2
MA300,Toán chuyên ngành truyền thông dữ liệu,5.3,3
ML111,Triết học Mác – Lênin,7.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.6,3
NA151,Khoa học môi trường,6.3,2
PE304,Tiếng Anh trong tin học 1,-1.0,2
PG100,Giáo dục thể chất,6.2,4
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,6.3,2
TC316,An ninh mạng truyền thông,3.9,3
TC473,Quản lý mạng viễn thông,8.5,3
VL101,Tiếng Việt thực hành,6.3,2
AD204,Ẩm thực Việt nam,8.0,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.0,3
AD312,Bóng đá,6.0,4
CF231,Lý thuyết thông tin và mã hóa,5.3,2
CS110,Kỹ thuật số,5.5,2
CS212,Kiến trúc máy tính,-1.0,3
CS315,Nguyên lý hệ điều hành,6.7,3
ET220,Lý thuyết mạch,5.9,3
IS222,Cơ sở dữ liệu,3.3,3
MA110,Giải tích 1,4.1,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.1,3
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,1.8,3
NW212,Mạng máy tính,-1.0,2
NW312,Thiết kế và quản trị mạng,5.4,3
SM201,Phương pháp luận nghiên cứu khoa học,8.2,3
TC311,Kỹ thuật truyền tin,5.1,3
TC314,Kỹ thuật kết nối mạng,5.9,3
