Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,4.9,2
CS102,Công dân số,6.3,2
CS110,Kỹ thuật số,6.8,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,8.4,3
CS212,Kiến trúc máy tính,7.5,3
EC102,Nhập môn kinh tế học,0.0,2
GE111,Tiếng Anh sơ cấp 1,7.2,2
GE112,Tiếng Anh sơ cấp 2,6.7,2
GE121,Tiếng Anh sơ trung cấp 1,6.2,2
GZ101,Tiếng Trung 1,8.2,2
GZ102,Tiếng Trung 2,0.0,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.3,3
MA110,Giải tích 1,3.1,3
MA120,Đại số tuyến tính,5.1,3
MA239,Xác suất thống kê,3.0,4
ML113,Triết học Mác - Lênin,7.6,3
ML114,Kinh tế chính trị Mác - Lênin,7.6,2
ML115,Chủ nghĩa xã hội khoa học,8.3,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,7.3,2
NA151,Khoa học môi trường,6.5,2
NW212,Mạng máy tính,0.0,2
PG106,GDTC: Bóng bàn cơ bản,7.3,1
PG113,GDTC: Bóng rổ cơ bản,6.5,1
PG115,GDTC: Bóng chuyền cơ bản,8.0,1
PG118,GDTC: Thể dục cơ bản,0.0,1
SH131,Pháp luật đại cương,6.9,2
VL101,Tiếng Việt thực hành,8.5,2
AD241,Dẫn chương trình (MC),9.0,3
