Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.4,2
CS102,Công dân số,4.3,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,3.9,3
EC102,Nhập môn kinh tế học,5.5,2
GE101,Tiếng Anh sơ cấp 1,6.7,2
GE102,Tiếng Anh sơ cấp 2,5.0,2
GE103,Tiếng Anh sơ cấp 3,5.1,2
GE201,Tiếng Anh sơ trung cấp 1,5.0,2
GE202,Tiếng Anh sơ trung cấp 2,-1.0,2
GZ101,Tiếng Trung 1,9.0,2
GZ102,Tiếng Trung 2,8.3,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.3,3
MA104,Số và cấu trúc đại số,3.7,3
MA239,Xác suất thống kê,4.0,4
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,5.5,2
ML115,Chủ nghĩa xã hội khoa học,7.4,2
ML202,Tư tưởng Hồ Chí Minh,6.2,2
ML204,Lịch sử Đảng,5.0,2
NA151,Khoa học môi trường,8.0,2
PG106,GDTC: Bóng bàn cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,5.9,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,8.6,1
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,8.3,2
VL101,Tiếng Việt thực hành,6.5,2
AD216,Kỹ năng sống,0.0,3
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,7.8,2
CS212,Kiến trúc máy tính,5.0,3
CS315,Nguyên lý hệ điều hành,0.0,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS222,Cơ sở dữ liệu,6.2,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,9.5,3
MA111,Giải tích 2,4.6,3
MA120,Đại số tuyến tính,4.3,3
MI201,Toán rời rạc,5.0,3
NW212,Mạng máy tính,5.2,2
