Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,7.0,3
CS100,Tin đại cương,6.0,2
CS102,Công dân số,7.0,2
CS110,Kỹ thuật số,5.1,2
CS121,Ngôn ngữ lập trình,7.8,3
CS122,Lập trình hướng đối tượng,1.5,3
CS212,Kiến trúc máy tính,1.4,3
EC102,Nhập môn kinh tế học,5.1,2
GE101,Tiếng Anh sơ cấp 1,8.4,2
GE102,Tiếng Anh sơ cấp 2,7.7,2
GE103,Tiếng Anh sơ cấp 3,7.7,2
GE201,Tiếng Anh sơ trung cấp 1,6.8,2
GE202,Tiếng Anh sơ trung cấp 2,6.9,2
GE205,Tiếng Anh sơ trung cấp 3,6.4,2
GE301,Tiếng Anh trung cấp 1,6.8,2
GE303,Tiếng Anh trung cấp 2,4.5,2
GE305,Tiếng Anh trung cấp 3,-1.0,2
GE333,Tiếng Anh trung cấp 3,1.9,2
GJ101,Tiếng Nhật 1,6.7,2
GJ102,Tiếng Nhật 2,-1.0,2
IS222,Cơ sở dữ liệu,4.2,3
IS314,Hệ thống thông tin,2.5,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS330,Dữ liệu lớn,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",2.0,3
MA104,Số và cấu trúc đại số,2.1,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.5,3
MA231,Xác suất thống kê ứng dụng,4.1,4
MA239,Xác suất thống kê,-1.0,4
MI201,Toán rời rạc,5.7,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML111,Triết học Mác – Lênin,7.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.5,3
ML115,Chủ nghĩa xã hội khoa học,7.9,2
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML204,Lịch sử Đảng,6.6,2
NA151,Khoa học môi trường,-1.0,2
NW212,Mạng máy tính,2.1,2
PG106,GDTC: Bóng bàn cơ bản,6.3,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,5.3,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,8.5,1
PG125,GDQP: Kỹ thuật bắn súng,8.5,1
SH131,Pháp luật đại cương,6.0,2
AD215,Ứng dụng PowerPoint,7.0,3
AD216,Kỹ năng sống,8.6,3
AD250,Dinh dưỡng và tiết chế,5.1,3
CS224,Lập trình .Net,-1.0,3
CS314,Lập trình ứng dụng di động,1.2,2
CS315,Nguyên lý hệ điều hành,10.0,3
CS320,Học máy,-1.0,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IM206,ứng dụng Excel,1.6,2
IP404,Thực tập ngành CNTT,8.0,2
MA238,Thống kê nâng cao,-1.0,3
MI312,Đồ họa,1.2,2
