Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.5,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,7.2,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,8.6,2
GE102,Tiếng Anh sơ cấp 2,7.3,2
GE103,Tiếng Anh sơ cấp 3,7.2,2
GE201,Tiếng Anh sơ trung cấp 1,7.7,2
GE202,Tiếng Anh sơ trung cấp 2,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.2,3
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,4.6,2
ML112,Kinh tế chính trị và CNXH khoa học,4.7,3
ML202,Tư tưởng Hồ Chí Minh,6.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.3,3
NA151,Khoa học môi trường,8.0,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,9.0,1
PG115,GDTC: Bóng chuyền cơ bản,6.9,1
PG118,GDTC: Thể dục cơ bản,7.0,1
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,7.5,2
CF212,Cấu trúc dữ liệu,1.2,3
CS110,Kỹ thuật số,1.2,2
CS212,Kiến trúc máy tính,-1.0,3
IS222,Cơ sở dữ liệu,5.8,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,-1.0,3
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
