Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,2.1,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,9.2,2
GE101A,Tiếng Anh sơ cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",2.1,3
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,6.7,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
NA151,Khoa học môi trường,2.1,2
PG118,GDTC: Thể dục cơ bản,7.9,1
PG122,GDQP: Đường lối quân sự của Đảng,1.5,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,1.8,1
PG125,GDQP: Kỹ thuật bắn súng,1.8,1
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,5.3,2
AD312,Bóng đá,-1.0,4
MA120,Đại số tuyến tính,-1.0,3
