Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.0,2
CS102,Công dân số,-1.0,2
CS121,Ngôn ngữ lập trình,5.4,3
CS122,Lập trình hướng đối tượng,5.1,3
GE111,Tiếng Anh sơ cấp 1,6.7,2
GE112,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",2.9,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,9.5,3
ML114,Kinh tế chính trị Mác - Lênin,8.1,2
ML115,Chủ nghĩa xã hội khoa học,9.1,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.2,2
PG110,GDTC: Bơi cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,5.6,4
SH131,Pháp luật đại cương,8.5,2
VL101,Tiếng Việt thực hành,5.6,2
CS110,Kỹ thuật số,3.4,2
CS212,Kiến trúc máy tính,6.1,3
IS222,Cơ sở dữ liệu,0.0,3
MI201,Toán rời rạc,-1.0,3
NW212,Mạng máy tính,0.0,2
