Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.6,2
CS102,Công dân số,5.8,2
CS121,Ngôn ngữ lập trình,4.3,3
CS122,Lập trình hướng đối tượng,0.0,3
GE111,Tiếng Anh sơ cấp 1,5.5,2
GE112,Tiếng Anh sơ cấp 2,4.5,2
GE121,Tiếng Anh sơ trung cấp 1,4.9,2
GE222,Tiếng Anh sơ trung cấp 2,4.4,2
GF101,Tiếng Pháp 1,6.9,2
GF102,Tiếng Pháp 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.1,3
MA104,Số và cấu trúc đại số,3.4,3
ML113,Triết học Mác - Lênin,8.3,3
ML114,Kinh tế chính trị Mác - Lênin,7.9,2
ML115,Chủ nghĩa xã hội khoa học,8.4,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,6.9,2
PG110,GDTC: Bơi cơ bản,6.3,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG120,Thể dục cơ bản nâng cao,0.0,1
PG121,Giáo dục quốc phòng,6.9,4
SH131,Pháp luật đại cương,9.1,2
VL101,Tiếng Việt thực hành,7.5,2
CS110,Kỹ thuật số,4.3,2
CS212,Kiến trúc máy tính,0.0,3
IS222,Cơ sở dữ liệu,0.0,3
MA120,Đại số tuyến tính,3.7,3
