Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.3,2
CS102,Công dân số,0.0,2
CS121,Ngôn ngữ lập trình,3.2,3
CS122,Lập trình hướng đối tượng,8.0,3
EC102,Nhập môn kinh tế học,6.6,2
GE111,Tiếng Anh sơ cấp 1,5.5,2
GE112,Tiếng Anh sơ cấp 2,4.7,2
GE121,Tiếng Anh sơ trung cấp 1,5.6,2
GZ101,Tiếng Trung 1,4.1,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.1,3
ML113,Triết học Mác - Lênin,8.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.0,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML204,Lịch sử Đảng,0.0,2
PG121,Giáo dục quốc phòng,7.3,4
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,4.2,2
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,5.0,2
CS212,Kiến trúc máy tính,7.8,3
IS222,Cơ sở dữ liệu,7.5,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.2,3
