Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,2.7,2
CS100,Tin đại cương,5.2,2
CS101,Công dân số,10.0,2
CS121,Ngôn ngữ lập trình,5.1,3
CS122,Lập trình hướng đối tượng,8.1,3
EC102,Nhập môn kinh tế học,5.8,2
GE101,Tiếng Anh sơ cấp 1,4.0,2
GE102,Tiếng Anh sơ cấp 2,4.9,2
GE103,Tiếng Anh sơ cấp 3,5.7,2
GE201,Tiếng Anh sơ trung cấp 1,3.7,2
GE202,Tiếng Anh sơ trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,6.1,2
GF102,Tiếng Pháp 2,1.8,2
IS314,Hệ thống thông tin,7.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.0,3
MA104,Số và cấu trúc đại số,7.8,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.4,3
ML113,Triết học Mác - Lênin,6.6,3
ML114,Kinh tế chính trị Mác - Lênin,7.0,2
ML115,Chủ nghĩa xã hội khoa học,9.3,2
ML202,Tư tưởng Hồ Chí Minh,9.2,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,8.5,2
PG102,GDTC: Thể dục cổ truyền cơ bản,6.0,1
PG106,GDTC: Bóng bàn cơ bản,2.1,1
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,6.7,1
PG120,Thể dục cơ bản nâng cao,1.8,1
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,7.4,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,9.0,3
AD216,Kỹ năng sống,9.5,3
CF211,Phân tích và thiết kế thuật toán,8.0,2
CF212,Cấu trúc dữ liệu,6.9,3
CS110,Kỹ thuật số,6.3,2
CS212,Kiến trúc máy tính,6.4,3
CS315,Nguyên lý hệ điều hành,10.0,3
CS321,Nhập môn khoa học dữ liệu,7.2,2
CS425,Một số vấn đề hiện đại trong khoa học máy tính,9.5,2
IM206,ứng dụng Excel,1.2,2
IS222,Cơ sở dữ liệu,5.1,3
IS322,Hệ quản trị cơ sở dữ liệu,2.9,3
IS326,Khai phá dữ liệu,4.4,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
IS345,An toàn thông tin,2.5,3
IS484,CĐTN: Cơ sở dữ liệu,0.0,6
MA110,Giải tích 1,7.7,3
MA111,Giải tích 2,5.7,3
MA120,Đại số tuyến tính,4.9,3
MA231,Xác suất thống kê ứng dụng,4.2,4
MI201,Toán rời rạc,7.7,3
NW212,Mạng máy tính,4.9,2
SE302,Công nghệ phần mềm,9.6,2
