Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.3,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,2.2,3
EC102,Nhập môn kinh tế học,5.8,2
GE101,Tiếng Anh sơ cấp 1,8.8,2
GE102,Tiếng Anh sơ cấp 2,8.0,2
GE103,Tiếng Anh sơ cấp 3,8.4,2
GE201,Tiếng Anh sơ trung cấp 1,8.5,2
GE202,Tiếng Anh sơ trung cấp 2,8.6,2
GE205,Tiếng Anh sơ trung cấp 3,8.3,2
GE232,Tiếng Anh trung cấp 2,3.1,2
GE301,Tiếng Anh trung cấp 1,7.8,2
GE303,Tiếng Anh trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,7.1,2
GF102,Tiếng Pháp 2,7.8,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IS317,Hạ tầng công nghệ thông tin,8.3,2
IS325,Cơ sở dữ liệu phân tán,1.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.1,3
MA103,Số và cấu trúc đại số,-1.0,2
MA104,Số và cấu trúc đại số,2.8,3
ML111,Triết học Mác – Lênin,8.0,2
ML112,Kinh tế chính trị và CNXH khoa học,7.2,3
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML204,Lịch sử Đảng,6.8,2
NA151,Khoa học môi trường,7.1,2
PG106,GDTC: Bóng bàn cơ bản,1.8,1
PG113,GDTC: Bóng rổ cơ bản,4.0,1
PG115,GDTC: Bóng chuyền cơ bản,2.1,1
PG118,GDTC: Thể dục cơ bản,1.8,1
PG121,Giáo dục quốc phòng,6.0,4
SC201,Kỹ năng giao tiếp và thuyết trình,8.6,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.6,3
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,6.4,2
CF212,Cấu trúc dữ liệu,6.0,3
CS110,Kỹ thuật số,6.0,2
CS212,Kiến trúc máy tính,5.4,3
CS224,Lập trình .Net,8.0,3
CS315,Nguyên lý hệ điều hành,7.3,3
IS222,Cơ sở dữ liệu,8.1,3
IS314,Hệ thống thông tin,6.8,3
IS315,Mô hình hóa quy trình nghiệp vụ,8.0,2
IS322,Hệ quản trị cơ sở dữ liệu,4.2,3
IS326,Khai phá dữ liệu,4.8,3
IS327,Kho dữ liệu,2.1,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
IS334,Quản lý dự án hệ thống thông tin,6.7,3
IS383,Hệ thống thông tin nâng cao,5.7,2
IS480,Kiến trúc doanh nghiệp,8.0,3
MA110,Giải tích 1,4.1,3
MA111,Giải tích 2,1.7,3
MA120,Đại số tuyến tính,4.0,3
MA231,Xác suất thống kê ứng dụng,2.9,4
MI201,Toán rời rạc,6.7,3
NW212,Mạng máy tính,6.8,2
SE302,Công nghệ phần mềm,7.5,2
SE487,CĐTN: Phát triển phần mềm,0.0,6
