Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,1.7,3
CS100,Tin đại cương,7.4,2
CS102,Công dân số,5.6,2
CS110,Kỹ thuật số,8.4,2
CS121,Ngôn ngữ lập trình,8.6,3
CS122,Lập trình hướng đối tượng,7.3,3
CS212,Kiến trúc máy tính,6.3,3
EC102,Nhập môn kinh tế học,5.2,2
GE101,Tiếng Anh sơ cấp 1,7.7,2
GE102,Tiếng Anh sơ cấp 2,6.0,2
GE103,Tiếng Anh sơ cấp 3,4.9,2
GE121,Tiếng Anh sơ trung cấp 1,0.0,2
GF101,Tiếng Pháp 1,5.8,2
GF102,Tiếng Pháp 2,-1.0,2
IS222,Cơ sở dữ liệu,6.8,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS330,Dữ liệu lớn,8.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.7,3
MA104,Số và cấu trúc đại số,5.9,3
MA110,Giải tích 1,4.5,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,7.2,3
MA239,Xác suất thống kê,4.2,4
MI201,Toán rời rạc,4.9,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,4.9,2
ML115,Chủ nghĩa xã hội khoa học,7.9,2
ML202,Tư tưởng Hồ Chí Minh,7.4,2
ML204,Lịch sử Đảng,6.1,2
NW212,Mạng máy tính,5.3,2
SH131,Pháp luật đại cương,8.5,2
VL101,Tiếng Việt thực hành,7.2,2
CS315,Nguyên lý hệ điều hành,8.1,3
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
MI312,Đồ họa,10.0,2
