Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.5,2
CS102,Công dân số,7.5,2
CS121,Ngôn ngữ lập trình,7.2,3
CS122,Lập trình hướng đối tượng,4.3,3
EC102,Nhập môn kinh tế học,7.8,2
GE101,Tiếng Anh sơ cấp 1,6.8,2
GE102,Tiếng Anh sơ cấp 2,5.9,2
GE103,Tiếng Anh sơ cấp 3,4.7,2
GE121,Tiếng Anh sơ trung cấp 1,4.3,2
GE222,Tiếng Anh sơ trung cấp 2,4.5,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GF101,Tiếng Pháp 1,4.9,2
GF102,Tiếng Pháp 2,5.4,2
GI101,Tiếng Ý 1,8.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.6,3
MA104,Số và cấu trúc đại số,0.0,3
ML113,Triết học Mác - Lênin,9.0,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,8.9,2
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML204,Lịch sử Đảng,6.6,2
NA151,Khoa học môi trường,8.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,0.0,1
PG121,Giáo dục quốc phòng,6.7,4
SH131,Pháp luật đại cương,8.6,2
VL101,Tiếng Việt thực hành,8.5,2
AD216,Kỹ năng sống,9.5,3
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,8.3,2
CS212,Kiến trúc máy tính,4.9,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS222,Cơ sở dữ liệu,5.2,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,0.0,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.2,3
MI201,Toán rời rạc,5.0,3
NW212,Mạng máy tính,4.3,2
