Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.7,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC102,Nhập môn kinh tế học,4.0,2
GE111,Tiếng Anh sơ cấp 1,4.5,2
GE112,Tiếng Anh sơ cấp 2,3.9,2
GJ101,Tiếng Nhật 1,4.0,2
GJ102,Tiếng Nhật 2,3.7,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
MA110,Giải tích 1,2.8,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,2.9,3
ML113,Triết học Mác - Lênin,7.9,3
ML114,Kinh tế chính trị Mác - Lênin,7.2,2
ML115,Chủ nghĩa xã hội khoa học,7.8,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,6.3,2
SH131,Pháp luật đại cương,6.7,2
VL101,Tiếng Việt thực hành,6.2,2
AD250,Dinh dưỡng và tiết chế,0.0,3
