Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.5,2
CS121,Ngôn ngữ lập trình,3.0,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.8,2
GE101A,Tiếng Anh sơ cấp 1,5.2,2
GE102A,Tiếng Anh sơ cấp 2,5.3,2
GE201A,Tiếng Anh sơ trung cấp 1,4.1,2
MA120A,Đại số tuyến tính 1,5.0,2
MA120B,Đại số tuyến tính 2,0.0,2
ML111,Triết học Mác – Lênin,7.3,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
NA151,Khoa học môi trường,7.0,2
PG101,GDTC: Lý thuyết,8.0,1
PG111,GDTC: Khiêu vũ thể thao cơ bản,7.0,1
PG121,Giáo dục quốc phòng,5.3,4
SH131,Pháp luật đại cương,0.0,2
CF201,Lý thuyết thuật toán,6.5,3
CF212,Cấu trúc dữ liệu,0.0,3
CF303,Hệ thống TEX,7.0,2
IS222,Cơ sở dữ liệu,5.5,3
MA212,Phương trình vi phân,0.0,2
MA222,Đại số đại cương,2.0,2
MA231,Xác suất thống kê ứng dụng,0.0,4
MA313,Hàm biến phức,1.6,2
MI201,Toán rời rạc,1.5,3
