Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.5,2
CS121,Ngôn ngữ lập trình,6.9,3
CS122,Lập trình hướng đối tượng,6.4,3
EC101,Kinh tế học đại cương,6.5,3
FN201A,Lý thuyết tài chính tiền tệ,5.5,2
GE100,Tiếng Anh cho người mới bắt đầu,7.0,2
GE101A,Tiếng Anh sơ cấp 1,6.0,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,6.9,2
GE202A,Tiếng Anh sơ trung cấp 2,6.3,2
GI101,Tiếng Ý 1,5.6,2
GJ101,Tiếng Nhật 1,6.7,2
GJ102,Tiếng Nhật 2,3.8,2
IM201,Kỹ năng soạn thảo VB (MS office),9.3,3
IS101,Tin văn phòng,6.5,3
MA102,Toán cơ sở,5.2,3
ML111,Triết học Mác – Lênin,6.3,2
ML112,Kinh tế chính trị và CNXH khoa học,7.0,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,6.0,2
PG100,Giáo dục thể chất,6.4,4
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG121,Giáo dục quốc phòng,7.1,4
SC201,Kỹ năng giao tiếp và thuyết trình,6.8,2
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,7.3,3
AC210,Kế toán doanh nghiệp,5.3,3
AC321,Kế toán ngân hàng 1,6.2,2
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,6.9,3
BK201,Ngân hàng thương mại 1,5.2,3
CS110,Kỹ thuật số,5.0,2
CS224,Lập trình .Net,0.0,3
CS315,Nguyên lý hệ điều hành,5.0,3
CS325,Lập trình PHP,5.5,3
EC202,Kinh tế vi mô,5.9,2
EC203,Kinh tế vĩ mô,5.7,2
FN211D,Nhập môn tài chính doanh nghiệp,5.0,2
FN221,Tài chính công,5.3,2
IS222,Cơ sở dữ liệu,6.9,3
IS314,Hệ thống thông tin,5.5,3
IS322,Hệ quản trị cơ sở dữ liệu,5.3,3
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
IS333,Phân tích thiết kế hệ thống thông tin,6.9,2
IS487,CĐTN: Hệ thống thông tin quản lý,0.0,6
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA120A,Đại số tuyến tính 1,0.0,2
MA120B,Đại số tuyến tính 2,5.5,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",8.0,4
MA231,Xác suất thống kê ứng dụng,6.5,4
MA241,Toán tài chính,3.4,2
MI201,Toán rời rạc,5.8,3
MK201,Nguyên lý marketing,6.0,2
MK311,Quản trị Marketing,7.9,3
MK331,Marketing ngân hàng,9.0,2
PE201,Tiếng Anh trong tin học 1A,6.1,2
PE302,Tiếng Anh trong tin học 1B,6.2,2
PE303,Tiếng Anh trong tin học 2A,7.2,2
PE404,Tiếng Anh trong tin học 2B,5.7,2
SE302,Công nghệ phần mềm,5.0,2
