Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,7.9,2
CS102,Công dân số,8.4,2
CS110,Kỹ thuật số,7.2,2
CS121,Ngôn ngữ lập trình,6.8,3
CS122,Lập trình hướng đối tượng,9.0,3
CS212,Kiến trúc máy tính,6.9,3
EC102,Nhập môn kinh tế học,6.4,2
GE101,Tiếng Anh sơ cấp 1,7.4,2
GE102,Tiếng Anh sơ cấp 2,6.0,2
GE103,Tiếng Anh sơ cấp 3,4.6,2
GE201,Tiếng Anh sơ trung cấp 1,5.1,2
GE202,Tiếng Anh sơ trung cấp 2,5.9,2
GE205,Tiếng Anh sơ trung cấp 3,5.8,2
GJ101,Tiếng Nhật 1,8.4,2
GJ102,Tiếng Nhật 2,5.7,2
IS222,Cơ sở dữ liệu,5.1,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA110,Giải tích 1,4.3,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,4.3,3
MA239,Xác suất thống kê,4.0,4
ML113,Triết học Mác - Lênin,9.3,3
ML114,Kinh tế chính trị Mác - Lênin,8.9,2
ML115,Chủ nghĩa xã hội khoa học,9.4,2
ML202,Tư tưởng Hồ Chí Minh,9.1,2
ML204,Lịch sử Đảng,8.6,2
NA151,Khoa học môi trường,9.0,2
NW212,Mạng máy tính,0.0,2
SH131,Pháp luật đại cương,9.4,2
VL101,Tiếng Việt thực hành,7.0,2
AD216,Kỹ năng sống,9.9,3
AI130,Nhập môn trí tuệ nhân tạo,8.0,3
CS320,Học máy,0.0,3
CS321,Nhập môn khoa học dữ liệu,7.6,2
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
