Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,10.0,3
CS100,Tin đại cương,9.2,2
CS102,Công dân số,6.8,2
CS110,Kỹ thuật số,5.2,2
CS121,Ngôn ngữ lập trình,8.3,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,4.4,3
EC102,Nhập môn kinh tế học,6.8,2
GE101,Tiếng Anh sơ cấp 1,7.0,2
GE102,Tiếng Anh sơ cấp 2,7.1,2
GE103,Tiếng Anh sơ cấp 3,5.8,2
GE201,Tiếng Anh sơ trung cấp 1,6.3,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,3.0,2
IS222,Cơ sở dữ liệu,8.5,3
IT320,Phát triển ứng dụng với Python,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.8,3
MA110,Giải tích 1,4.4,3
MA111,Giải tích 2,2.8,3
MA120,Đại số tuyến tính,6.1,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,4.6,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,6.3,2
ML115,Chủ nghĩa xã hội khoa học,6.8,2
ML202,Tư tưởng Hồ Chí Minh,8.7,2
ML204,Lịch sử Đảng,5.8,2
NA151,Khoa học môi trường,6.0,2
NW212,Mạng máy tính,0.0,2
PG113,GDTC: Bóng rổ cơ bản,6.7,1
PG115,GDTC: Bóng chuyền cơ bản,6.4,1
PG118,GDTC: Thể dục cơ bản,7.9,1
PG120,Thể dục cơ bản nâng cao,0.0,1
SH131,Pháp luật đại cương,8.7,2
VL101,Tiếng Việt thực hành,8.3,2
AI130,Nhập môn trí tuệ nhân tạo,6.8,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,4.2,3
CF211,Phân tích và thiết kế thuật toán,4.2,2
CS321,Nhập môn khoa học dữ liệu,9.3,2
IS326,Khai phá dữ liệu,0.0,3
IS330,Dữ liệu lớn,6.7,2
