Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.1,2
CS110,Kỹ thuật số,4.3,2
CS121,Ngôn ngữ lập trình,-1.0,3
GE101,Tiếng Anh sơ cấp 1,7.0,2
GE102,Tiếng Anh sơ cấp 2,6.6,2
GE103,Tiếng Anh sơ cấp 3,3.9,2
GE201,Tiếng Anh sơ trung cấp 1,3.4,2
GJ101,Tiếng Nhật 1,2.6,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.4,3
MA104,Số và cấu trúc đại số,3.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,7.1,3
ML111,Triết học Mác – Lênin,7.5,2
ML112,Kinh tế chính trị và CNXH khoa học,7.3,3
ML202,Tư tưởng Hồ Chí Minh,7.4,2
SH131,Pháp luật đại cương,6.8,2
