Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.9,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,1.8,3
EC101,Kinh tế học đại cương,5.0,3
FN211,Tài chính doanh nghiệp,-1.0,3
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,9.8,2
GE102A,Tiếng Anh sơ cấp 2,8.5,2
GE201A,Tiếng Anh sơ trung cấp 1,8.0,2
GE202A,Tiếng Anh sơ trung cấp 2,7.7,2
GJ101,Tiếng Nhật 1,7.2,2
GJ102,Tiếng Nhật 2,5.5,2
IM001,Kỹ năng CNTT cơ bản,7.8,0
IM201,Kỹ năng soạn thảo VB (MS office),5.0,3
IM203,Ứng dụng Excel,9.5,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
ML111,Triết học Mác – Lênin,6.4,2
ML112,Kinh tế chính trị và CNXH khoa học,5.2,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.6,3
NA151,Khoa học môi trường,6.3,2
PG100,Giáo dục thể chất,8.6,4
PG121,Giáo dục quốc phòng,6.0,4
SC201,Kỹ năng giao tiếp và thuyết trình,6.5,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.0,3
SH131,Pháp luật đại cương,5.9,2
VL101,Tiếng Việt thực hành,6.1,2
AC201,Nguyên lý kế toán,5.7,3
AC210,Kế toán doanh nghiệp,5.0,3
AD204,Ẩm thực Việt nam,8.2,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.5,3
BA102,Quản trị học đại cương,6.5,3
BA313,Quản trị chiến lược,-1.0,3
BA315,Văn hóa kinh doanh,8.3,3
CF212,Cấu trúc dữ liệu,-1.0,3
CS110,Kỹ thuật số,1.9,2
CS212,Kiến trúc máy tính,3.3,3
CS223,Lập trình Java,1.2,3
CS315,Nguyên lý hệ điều hành,1.8,3
IS222,Cơ sở dữ liệu,-1.0,3
IS314,Hệ thống thông tin,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,1.2,3
IS334,Quản lý dự án hệ thống thông tin,7.9,3
IS383,Hệ thống thông tin nâng cao,7.7,2
MA110,Giải tích 1,3.0,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.3,4
MA231,Xác suất thống kê ứng dụng,5.2,4
MI312,Đồ họa,2.9,2
MK202,Marketing căn bản,4.2,3
MK313,Quản trị thương hiệu,-1.0,3
NW212,Mạng máy tính,3.9,2
PE201,Tiếng Anh trong tin học 1A,7.9,2
PE302,Tiếng Anh trong tin học 1B,7.4,2
PE303,Tiếng Anh trong tin học 2A,7.8,2
PE404,Tiếng Anh trong tin học 2B,7.1,2
SE302,Công nghệ phần mềm,7.1,2
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
