Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,7.4,2
CS100,Tin đại cương,6.4,2
CS121,Ngôn ngữ lập trình,8.2,3
CS122,Lập trình hướng đối tượng,7.2,3
EC102,Nhập môn kinh tế học,5.0,2
GE100A,Tiếng Anh cho người mới bắt đầu,7.1,0
GE101A,Tiếng Anh sơ cấp 1,7.0,2
GE102A,Tiếng Anh sơ cấp 2,6.3,2
GE201,Tiếng Anh sơ trung cấp 1,6.4,2
GE202,Tiếng Anh sơ trung cấp 2,6.0,2
GE205,Tiếng Anh sơ trung cấp 3,5.5,2
GE301,Tiếng Anh trung cấp 1,5.6,2
GE303,Tiếng Anh trung cấp 2,5.1,2
GE305,Tiếng Anh trung cấp 3,5.7,2
GJ101,Tiếng Nhật 1,9.2,2
GJ102,Tiếng Nhật 2,9.1,2
IM201,Kỹ năng soạn thảo VB (MS office),8.2,3
IP401,Thực tập ngành Khoa học máy tính,9.5,2
IS314,Hệ thống thông tin,8.3,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",8.3,3
MA103,Số và cấu trúc đại số,5.3,2
ML111,Triết học Mác – Lênin,7.8,2
ML112,Kinh tế chính trị và CNXH khoa học,5.9,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.7,2
PG100,Giáo dục thể chất,6.8,4
PG121,Giáo dục quốc phòng,6.4,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,6.8,3
SH131,Pháp luật đại cương,5.2,2
ST450,Toeic,5.5,3
VL101,Tiếng Việt thực hành,8.0,2
AD204,Ẩm thực Việt nam,9.0,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,6.0,3
CF212,Cấu trúc dữ liệu,7.9,3
CF301,Ngôn ngữ hình thức và Otomat,6.4,3
CS110,Kỹ thuật số,7.2,2
CS212,Kiến trúc máy tính,8.5,3
CS223,Lập trình Java,5.7,3
CS315,Nguyên lý hệ điều hành,6.9,3
CS316,Hệ điều hành Unix,2.1,3
CS425,Một số vấn đề hiện đại trong khoa học máy tính,9.5,2
IS222,Cơ sở dữ liệu,6.0,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
MA110,Giải tích 1,5.9,3
MA111,Giải tích 2,5.6,3
MA120,Đại số tuyến tính,8.2,3
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,6.9,3
MI312,Đồ họa,7.1,2
MI321,Trí tuệ nhân tạo,9.5,3
NW212,Mạng máy tính,8.9,2
SE302,Công nghệ phần mềm,8.0,2
SE380,Project,7.0,3
SE422,Quản lý dự án phần mềm,8.0,3
SE487,CĐTN: Phát triển phần mềm,9.3,6
SM201,Phương pháp luận nghiên cứu khoa học,7.7,3
