Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.0,2
CS102,Công dân số,2.5,2
CS121,Ngôn ngữ lập trình,5.3,3
CS122,Lập trình hướng đối tượng,1.4,3
EC102,Nhập môn kinh tế học,6.3,2
GE101,Tiếng Anh sơ cấp 1,5.5,2
GE102,Tiếng Anh sơ cấp 2,4.4,2
GE103,Tiếng Anh sơ cấp 3,5.0,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
GF101,Tiếng Pháp 1,6.1,2
GF102,Tiếng Pháp 2,3.4,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.0,3
MA104,Số và cấu trúc đại số,4.5,3
MA239,Xác suất thống kê,-1.0,4
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.4,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML204,Lịch sử Đảng,5.3,2
NA151,Khoa học môi trường,9.5,2
PG106,GDTC: Bóng bàn cơ bản,1.8,1
PG113,GDTC: Bóng rổ cơ bản,7.1,1
PG115,GDTC: Bóng chuyền cơ bản,6.3,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,8.7,2
TC303,Thiết kế và quản trị truyền thông,4.0,3
VL101,Tiếng Việt thực hành,6.1,2
AD241,Dẫn chương trình (MC),9.5,3
CF321,Xử lý tín hiệu số,2.4,3
CS110,Kỹ thuật số,9.0,2
CS212,Kiến trúc máy tính,1.9,3
CS315,Nguyên lý hệ điều hành,6.4,3
IS222,Cơ sở dữ liệu,4.3,3
MA110,Giải tích 1,5.7,3
MA111,Giải tích 2,1.9,3
MA120,Đại số tuyến tính,5.6,3
NW212,Mạng máy tính,4.6,2
SM201,Phương pháp luận nghiên cứu khoa học,8.8,3
TC314,Kỹ thuật kết nối mạng,2.4,3
