Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.2,2
CS121,Ngôn ngữ lập trình,5.8,3
EC102,Nhập môn kinh tế học,4.3,2
GE111,Tiếng Anh sơ cấp 1,7.0,2
GE112,Tiếng Anh sơ cấp 2,6.2,2
GE121,Tiếng Anh sơ trung cấp 1,3.5,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GZ101,Tiếng Trung 1,3.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.7,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,8.8,3
ML114,Kinh tế chính trị Mác - Lênin,-1.0,2
NA151,Khoa học môi trường,-1.0,2
PG113,GDTC: Bóng rổ cơ bản,7.4,1
PG121,Giáo dục quốc phòng,6.0,4
SH131,Pháp luật đại cương,8.6,2
VL101,Tiếng Việt thực hành,6.0,2
CS110,Kỹ thuật số,4.8,2
CS212,Kiến trúc máy tính,0.0,3
MA120,Đại số tuyến tính,-1.0,3
