Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.8,2
CS121,Ngôn ngữ lập trình,3.0,3
CS122,Lập trình hướng đối tượng,1.5,3
EC102,Nhập môn kinh tế học,5.7,2
GE100,Tiếng Anh cho người mới bắt đầu,5.8,2
GE101A,Tiếng Anh sơ cấp 1,5.2,2
GJ101,Tiếng Nhật 1,9.4,2
GJ102,Tiếng Nhật 2,9.4,2
MA102,Toán cơ sở,5.0,3
ML111,Triết học Mác – Lênin,5.6,2
ML112,Kinh tế chính trị và CNXH khoa học,4.6,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
NA151,Khoa học môi trường,6.5,2
PG100,Giáo dục thể chất,6.7,4
PG121,Giáo dục quốc phòng,5.4,4
SH131,Pháp luật đại cương,4.5,2
VL101,Tiếng Việt thực hành,5.5,2
CF212,Cấu trúc dữ liệu,1.5,3
CS110,Kỹ thuật số,1.9,2
CS212,Kiến trúc máy tính,-1.0,3
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,1.2,3
MA110,Giải tích 1,3.1,3
MA120,Đại số tuyến tính,3.5,3
MI201,Toán rời rạc,1.2,3
NW212,Mạng máy tính,1.5,2
