Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.8,3
CS100,Tin đại cương,9.1,2
CS121,Ngôn ngữ lập trình,8.5,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,8.6,3
EC102,Nhập môn kinh tế học,8.6,2
GE101,Tiếng Anh sơ cấp 1,9.0,2
GE102,Tiếng Anh sơ cấp 2,7.1,2
GE103,Tiếng Anh sơ cấp 3,6.9,2
GE201,Tiếng Anh sơ trung cấp 1,6.5,2
GE202,Tiếng Anh sơ trung cấp 2,7.8,2
GE205,Tiếng Anh sơ trung cấp 3,6.5,2
GE232,Tiếng Anh trung cấp 2,5.6,2
GE301,Tiếng Anh trung cấp 1,6.3,2
GE333,Tiếng Anh trung cấp 3,0.0,2
GK101,Tiếng Hàn 1,9.4,2
GK102,Tiếng Hàn 2,9.8,2
IS222,Cơ sở dữ liệu,7.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.6,3
MA110,Giải tích 1,7.8,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,8.3,3
MA239,Xác suất thống kê,7.6,4
MI201,Toán rời rạc,8.2,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.7,3
ML114,Kinh tế chính trị Mác - Lênin,9.4,2
ML115,Chủ nghĩa xã hội khoa học,9.1,2
ML202,Tư tưởng Hồ Chí Minh,9.2,2
ML204,Lịch sử Đảng,8.2,2
NA151,Khoa học môi trường,9.3,2
NW212,Mạng máy tính,0.0,2
SH131,Pháp luật đại cương,9.5,2
VL101,Tiếng Việt thực hành,8.6,2
AD216,Kỹ năng sống,8.7,3
AI130,Nhập môn trí tuệ nhân tạo,9.0,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,7.4,3
AI310,Học sâu,8.0,3
CF211,Phân tích và thiết kế thuật toán,10.0,2
CS320,Học máy,5.3,3
CS321,Nhập môn khoa học dữ liệu,8.0,2
IS330,Dữ liệu lớn,9.2,2
MA238,Thống kê nâng cao,6.0,3
MI302,Tối ưu hóa,6.8,2
