Mã HP,Tên HP,Điểm,Số TC
BA211A,Quản lý sản xuất và tác nghiệp,6.1,2
BA314A,Quản trị nguồn nhân lực,5.7,2
BK302A,Ngân hàng thương mại 2,5.0,2
CS100A,Nhập môn khoa học máy tính,6.6,2
CS121,Ngôn ngữ lập trình,6.5,3
CS122,Lập trình hướng đối tượng,4.0,3
EC101,Kinh tế học đại cương,6.2,3
EC221A,Luật kinh tế,6.5,3
EC312A,Kinh tế lượng,5.5,2
FN212A,Quản trị tài chính doanh nghiệp 1,5.0,3
GE100,Tiếng Anh cho người mới bắt đầu,6.7,2
GE101A,Tiếng Anh sơ cấp 1,5.7,2
GE102A,Tiếng Anh sơ cấp 2,5.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GJ101,Tiếng Nhật 1,5.4,2
GJ102,Tiếng Nhật 2,6.4,2
IM201,Kỹ năng soạn thảo VB (MS office),5.6,3
MA100A,Toán 1,5.0,2
MA142A,Đại số tuyến tính,0.0,2
ML111,Triết học Mác – Lênin,6.4,2
ML112,Kinh tế chính trị và CNXH khoa học,6.7,3
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,9.0,3
NA151,Khoa học môi trường,10.0,2
PG100,Giáo dục thể chất,7.2,4
PG121,Giáo dục quốc phòng,6.0,4
SC201,Kỹ năng giao tiếp và thuyết trình,4.0,2
SH121,Địa lý kinh tế,6.0,2
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,7.6,3
AC321,Kế toán ngân hàng 1,5.0,2
AC422,Kế toán ngân hàng 2,5.0,3
AD211,Văn hóa Hà Nội,5.0,2
BA101,Quản trị học,5.0,2
BA221,Phân tích và lập dự án đầu tư,7.7,2
BA325,Nghiệp vụ xuất nhập khẩu,5.0,2
BK201,Ngân hàng thương mại 1,5.0,3
BK311,Ngân hàng trung ương,6.5,2
BK321A,Thanh toán quốc tế,5.0,2
BK322,Công nghệ thông tin ngân hàng,5.0,2
BK409,CĐTN: Hoạt động tín dụng trong NHTM,5.8,3
BK419,CĐTN: Tiền tệ và hoạt động ngân hàng,6.3,3
BK423,Tài trợ dự án,6.0,2
EC202,Kinh tế vi mô,5.0,2
EC203,Kinh tế vĩ mô,5.8,2
EC311,Mô hình kinh tế,6.0,2
FN201,Tài chính tiền tệ căn bản,5.3,3
FN211D,Nhập môn tài chính doanh nghiệp,5.0,2
FN221,Tài chính công,5.0,2
FN331,Thị trường chứng khoán,6.0,3
IS201,Tin quản lý Access,5.0,3
MA110A,Giải tích 1A,0.0,2
MA120A,Đại số tuyến tính 1,0.0,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",4.5,4
MA142A,Đại số tuyến tính,0.0,2
MA231,Xác suất thống kê ứng dụng,5.0,4
MK201,Nguyên lý marketing,5.0,2
MK312,Quản trị thương hiệu,6.2,2
MK331,Marketing ngân hàng,5.0,2
MK333,Marketing dịch vụ,7.0,2
MK423,Quan hệ cộng đồng,7.0,2
PE201,Tiếng Anh trong tin học 1A,-1.0,2
PE221,Tiếng Anh doanh nghiệp 1A,5.6,2
PE322,Tiếng Anh doanh nghiệp 1B,5.0,2
PE323,Tiếng Anh doanh nghiệp 2A,5.7,2
PE424,Tiếng Anh doanh nghiệp 2B,5.2,2
TT499,Thực tập tốt nghiệp,5.0,3
