Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.1,2
CS102,Công dân số,5.4,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,5.3,3
EC102,Nhập môn kinh tế học,4.5,2
GE111,Tiếng Anh sơ cấp 1,5.9,2
GE112,Tiếng Anh sơ cấp 2,4.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.1,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,7.6,3
ML114,Kinh tế chính trị Mác - Lênin,6.8,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.1,2
NA151,Khoa học môi trường,7.9,2
PG113,GDTC: Bóng rổ cơ bản,8.6,1
PG115,GDTC: Bóng chuyền cơ bản,6.7,1
PG121,Giáo dục quốc phòng,7.0,4
SH131,Pháp luật đại cương,8.1,2
VL101,Tiếng Việt thực hành,6.0,2
CS110,Kỹ thuật số,6.2,2
CS212,Kiến trúc máy tính,5.5,3
IS222,Cơ sở dữ liệu,4.3,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,2.7,3
MI201,Toán rời rạc,0.0,3
NW212,Mạng máy tính,0.0,2
