Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,8.5,2
CS101,Công dân số,9.0,2
CS110,Kỹ thuật số,7.7,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS122,Lập trình hướng đối tượng,1.2,3
CS212,Kiến trúc máy tính,2.0,3
EC102,Nhập môn kinh tế học,7.3,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,8.5,2
GE103,Tiếng Anh sơ cấp 3,8.3,2
GE201,Tiếng Anh sơ trung cấp 1,8.4,2
GE202,Tiếng Anh sơ trung cấp 2,8.4,2
GE205,Tiếng Anh sơ trung cấp 3,8.4,2
GE301,Tiếng Anh trung cấp 1,7.1,2
GE303,Tiếng Anh trung cấp 2,8.4,2
GE305,Tiếng Anh trung cấp 3,8.6,2
GF101,Tiếng Pháp 1,4.0,2
GF102,Tiếng Pháp 2,9.2,2
IS222,Cơ sở dữ liệu,1.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA110,Giải tích 1,5.3,3
MA111,Giải tích 2,5.6,3
MA120,Đại số tuyến tính,1.8,3
MA230,Xác suất,-1.0,3
MA239,Xác suất thống kê,4.0,4
MI201,Toán rời rạc,2.1,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,-1.0,3
ML113,Triết học Mác - Lênin,7.8,3
ML114,Kinh tế chính trị Mác - Lênin,9.8,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,2.9,2
ML204,Lịch sử Đảng,6.4,2
NA151,Khoa học môi trường,7.5,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,2.1,1
PG113,GDTC: Bóng rổ cơ bản,2.1,1
PG118,GDTC: Thể dục cơ bản,5.1,1
PG120,Thể dục cơ bản nâng cao,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,7.4,2
VL101,Tiếng Việt thực hành,1.7,2
AD213,Hát – Nhạc,-1.0,3
AI130,Nhập môn trí tuệ nhân tạo,-1.0,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,-1.0,3
CS320,Học máy,-1.0,3
