Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.1,2
CS101,Công dân số,6.9,2
CS121,Ngôn ngữ lập trình,7.4,3
CS122,Lập trình hướng đối tượng,-1.0,3
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,7.3,2
GE103,Tiếng Anh sơ cấp 3,6.7,2
GE201,Tiếng Anh sơ trung cấp 1,6.7,2
GE202,Tiếng Anh sơ trung cấp 2,4.3,2
GE205,Tiếng Anh sơ trung cấp 3,-1.0,2
GF101,Tiếng Pháp 1,6.0,2
GJ101,Tiếng Nhật 1,6.5,2
GJ102,Tiếng Nhật 2,5.6,2
IS314,Hệ thống thông tin,6.2,3
IS317,Hạ tầng công nghệ thông tin,9.0,2
IS330,Dữ liệu lớn,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
MA104,Số và cấu trúc đại số,6.7,3
ML113,Triết học Mác - Lênin,2.6,3
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,5.3,4
SH131,Pháp luật đại cương,2.6,2
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS110,Kỹ thuật số,6.2,2
CS212,Kiến trúc máy tính,1.4,3
CS224,Lập trình .Net,-1.0,3
CS321,Nhập môn khoa học dữ liệu,6.2,2
IS222,Cơ sở dữ liệu,2.0,3
MA110,Giải tích 1,5.3,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,4.0,3
NW212,Mạng máy tính,1.9,2
