Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,9.3,2
CS102,Công dân số,1.3,2
CS110,Kỹ thuật số,4.0,2
CS121,Ngôn ngữ lập trình,7.8,3
CS122,Lập trình hướng đối tượng,8.9,3
CS212,Kiến trúc máy tính,7.9,3
GE111,Tiếng Anh sơ cấp 1,7.3,2
GE112,Tiếng Anh sơ cấp 2,6.7,2
GE121,Tiếng Anh sơ trung cấp 1,5.8,2
GZ101,Tiếng Trung 1,6.0,2
IS222,Cơ sở dữ liệu,7.1,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.5,3
MA104,Số và cấu trúc đại số,6.3,3
MA110,Giải tích 1,3.2,3
MA120,Đại số tuyến tính,5.8,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,9.1,3
ML114,Kinh tế chính trị Mác - Lênin,9.5,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,7.8,2
PG113,GDTC: Bóng rổ cơ bản,9.0,1
PG115,GDTC: Bóng chuyền cơ bản,8.0,1
PG118,GDTC: Thể dục cơ bản,9.3,1
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,6.2,2
CS315,Nguyên lý hệ điều hành,0.0,3
