Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,7.0,4
CS100,Tin đại cương,6.8,2
CS121,Ngôn ngữ lập trình,5.0,3
EC101,Kinh tế học đại cương,5.3,3
EC102,Nhập môn kinh tế học,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.9,2
GE101A,Tiếng Anh sơ cấp 1,7.3,2
GE102A,Tiếng Anh sơ cấp 2,6.4,2
GE201A,Tiếng Anh sơ trung cấp 1,6.1,2
GE202A,Tiếng Anh sơ trung cấp 2,5.2,2
GJ101,Tiếng Nhật 1,6.5,2
IM201,Kỹ năng soạn thảo VB (MS office),5.4,3
ML111,Triết học Mác – Lênin,5.9,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.5,2
PG100,Giáo dục thể chất,8.4,4
PG110,GDTC: Bơi cơ bản,9.0,1
PG121,Giáo dục quốc phòng,6.4,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.6,2
SH131,Pháp luật đại cương,5.4,2
VL101,Tiếng Việt thực hành,7.0,2
AD204,Ẩm thực Việt nam,7.8,4
BA101,Quản trị học,5.0,2
CS212,Kiến trúc máy tính,5.5,3
CS315,Nguyên lý hệ điều hành,5.8,3
EC203,Kinh tế vĩ mô,5.0,2
MK201,Nguyên lý marketing,5.0,2
SM201,Phương pháp luận nghiên cứu khoa học,7.7,3
