Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.0,2
CS102,Công dân số,7.8,2
CS121,Ngôn ngữ lập trình,3.6,3
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,6.3,2
GE121,Tiếng Anh sơ trung cấp 1,7.7,2
GE222,Tiếng Anh sơ trung cấp 2,6.8,2
GZ101,Tiếng Trung 1,5.6,2
GZ102,Tiếng Trung 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.0,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.2,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,7.8,2
NA151,Khoa học môi trường,7.3,2
PG102,GDTC: Thể dục cổ truyền cơ bản,9.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG120,Thể dục cơ bản nâng cao,0.0,1
PG121,Giáo dục quốc phòng,8.0,4
SH131,Pháp luật đại cương,8.1,2
VL101,Tiếng Việt thực hành,6.8,2
AD241,Dẫn chương trình (MC),9.0,3
AD314,Nhảy hiện đại,8.3,4
CS110,Kỹ thuật số,5.6,2
IS222,Cơ sở dữ liệu,7.5,3
MA120,Đại số tuyến tính,0.0,3
