Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,2.7,3
CS100,Tin đại cương,6.9,2
CS102,Công dân số,5.0,2
CS110,Kỹ thuật số,4.5,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,8.0,3
CS212,Kiến trúc máy tính,6.1,3
EC101,Kinh tế học đại cương,7.2,3
GE101,Tiếng Anh sơ cấp 1,8.2,2
GE102,Tiếng Anh sơ cấp 2,7.5,2
GF101,Tiếng Pháp 1,2.3,2
GJ101,Tiếng Nhật 1,-1.0,2
IS222,Cơ sở dữ liệu,5.1,3
IS314,Hệ thống thông tin,8.0,3
IS322,Hệ quản trị cơ sở dữ liệu,5.4,3
IS330,Dữ liệu lớn,6.4,2
IT320,Phát triển ứng dụng với Python,6.4,3
IT333,Công nghệ Web,6.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,5.0,3
MA110,Giải tích 1,6.8,3
MA111,Giải tích 2,4.4,3
MA120,Đại số tuyến tính,7.1,3
MA231,Xác suất thống kê ứng dụng,4.8,4
MI201,Toán rời rạc,5.7,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,6.0,3
ML111,Triết học Mác – Lênin,5.8,2
ML112,Kinh tế chính trị và CNXH khoa học,6.1,3
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML204,Lịch sử Đảng,4.5,2
NA151,Khoa học môi trường,9.0,2
NW212,Mạng máy tính,5.5,2
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,3.9,1
PG124,GDQP: Quân sự chung,5.6,1
PG125,GDQP: Kỹ thuật bắn súng,5.6,1
SH131,Pháp luật đại cương,8.0,2
AD215,Ứng dụng PowerPoint,6.5,3
AD218,Hát - Nhạc,2.4,4
AD240,Nhiếp ảnh cơ bản,-1.0,3
CS224,Lập trình .Net,-1.0,3
CS314,Lập trình ứng dụng di động,7.0,2
CS315,Nguyên lý hệ điều hành,8.0,3
CS320,Học máy,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.2,3
IT380,Dự án Công nghệ thông tin,2.1,2
MI312,Đồ họa,7.0,2
