Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS102,Công dân số,7.3,2
CS121,Ngôn ngữ lập trình,6.9,3
CS122,Lập trình hướng đối tượng,7.3,3
EC102,Nhập môn kinh tế học,4.3,2
GE111,Tiếng Anh sơ cấp 1,6.8,2
GE112,Tiếng Anh sơ cấp 2,6.7,2
GE121,Tiếng Anh sơ trung cấp 1,6.2,2
GZ101,Tiếng Trung 1,4.0,2
GZ102,Tiếng Trung 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.4,3
ML113,Triết học Mác - Lênin,9.8,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,4.3,2
ML204,Lịch sử Đảng,4.0,2
NA151,Khoa học môi trường,8.3,2
PG113,GDTC: Bóng rổ cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG120,Thể dục cơ bản nâng cao,9.3,1
PG121,Giáo dục quốc phòng,8.0,4
SH131,Pháp luật đại cương,9.2,2
VL101,Tiếng Việt thực hành,6.3,2
CS110,Kỹ thuật số,6.9,2
CS212,Kiến trúc máy tính,8.3,3
CS315,Nguyên lý hệ điều hành,0.0,3
IS222,Cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.4,3
MI201,Toán rời rạc,6.5,3
NW212,Mạng máy tính,0.0,2
