Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.0,2
CS102,Công dân số,4.5,2
CS121,Ngôn ngữ lập trình,2.8,3
CS122,Lập trình hướng đối tượng,3.5,3
EC102,Nhập môn kinh tế học,4.9,2
GE111,Tiếng Anh sơ cấp 1,4.7,2
GE112,Tiếng Anh sơ cấp 2,4.1,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.0,3
MA104,Số và cấu trúc đại số,0.0,3
ML113,Triết học Mác - Lênin,7.5,3
ML114,Kinh tế chính trị Mác - Lênin,6.4,2
ML115,Chủ nghĩa xã hội khoa học,9.1,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,4.0,2
NA151,Khoa học môi trường,7.8,2
PG113,GDTC: Bóng rổ cơ bản,5.7,1
PG121,Giáo dục quốc phòng,5.8,4
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,6.5,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,0.0,3
CS110,Kỹ thuật số,3.6,2
CS212,Kiến trúc máy tính,2.5,3
IS222,Cơ sở dữ liệu,0.0,3
MA120,Đại số tuyến tính,-1.0,3
