Mã HP,Tên HP,Điểm,Số TC
CF201A,Lý thuyết thuật toán 1,5.0,2
CF212B,Cấu trúc dữ liệu 2,3.0,2
CS121,Ngôn ngữ lập trình,9.7,3
CS122,Lập trình hướng đối tượng,7.3,3
CS122A,Lập trình hướng đối tượng,10.0,2
CS122B,Lập trình hướng đối tượng nâng cao,10.0,2
CS212A,Kiến trúc máy tính 1,0.0,2
CS311A,Hợp ngữ,6.0,2
EC101,Kinh tế học đại cương,5.0,3
GE100,Tiếng Anh cho người mới bắt đầu,8.9,2
GE101A,Tiếng Anh sơ cấp 1,8.4,2
GE102A,Tiếng Anh sơ cấp 2,7.6,2
GE201A,Tiếng Anh sơ trung cấp 1,5.1,2
GE202A,Tiếng Anh sơ trung cấp 2,6.1,2
GF101,Tiếng Pháp 1,7.0,2
GF102,Tiếng Pháp 2,4.0,2
IS223A,Cơ sở dữ liệu 2,7.2,2
IS322E,Hệ quản trị cơ sở dữ liệu,8.0,4
MA100A,Toán 1,5.0,2
MA110A,Giải tích 1A,5.0,2
MA111A,Giải tích 2A,5.0,2
MA120A,Đại số tuyến tính 1,5.0,2
ML111,Triết học Mác – Lênin,6.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,7.2,2
NW312A,Thiết kế quản trị mạng,6.8,4
PG100,Giáo dục thể chất,8.0,4
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,5.5,2
CF212A,Cấu trúc dữ liệu 1,6.0,2
CS110,Kỹ thuật số,9.0,2
CS223,Lập trình Java,8.8,3
CS224,Lập trình .Net,10.0,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS316,Hệ điều hành Unix,6.7,3
IS222,Cơ sở dữ liệu,3.3,3
IS332,Phân tích thiết kế hướng đối tượng,7.6,3
IS333,Phân tích thiết kế hệ thống thông tin,8.0,2
IS487,CĐTN: Hệ thống thông tin quản lý,8.9,6
MA212,Phương trình vi phân,0.0,2
MA222,Đại số đại cương,6.0,2
MA231,Xác suất thống kê ứng dụng,8.0,4
MI201,Toán rời rạc,5.0,3
MI312,Đồ họa,5.0,2
MI414,Giao diện người máy,8.5,2
NW212,Mạng máy tính,1.0,2
NW332A,An toàn mạng,5.5,4
PE201,Tiếng Anh trong tin học 1A,6.4,2
PE302,Tiếng Anh trong tin học 1B,6.2,2
SE302,Công nghệ phần mềm,7.5,2
