Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.1,2
CS121,Ngôn ngữ lập trình,7.8,3
CS122,Lập trình hướng đối tượng,10.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,10.0,2
GE102A,Tiếng Anh sơ cấp 2,9.0,2
GE201A,Tiếng Anh sơ trung cấp 1,7.6,2
GE202A,Tiếng Anh sơ trung cấp 2,7.4,2
GF101,Tiếng Pháp 1,6.4,2
GF102,Tiếng Pháp 2,-1.0,2
IM001,Kỹ năng CNTT cơ bản,9.8,0
IP401,Thực tập ngành Khoa học máy tính,8.0,2
IS314,Hệ thống thông tin,7.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.1,3
ML111,Triết học Mác – Lênin,6.4,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.7,3
NA151,Khoa học môi trường,7.3,2
PG102,GDTC: Thể dục cổ truyền cơ bản,8.3,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG110,GDTC: Bơi cơ bản,7.1,1
PG113,GDTC: Bóng rổ cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG121,Giáo dục quốc phòng,5.8,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,6.3,3
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,5.6,2
AD204,Ẩm thực Việt nam,7.6,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,7.0,3
CF212,Cấu trúc dữ liệu,6.8,3
CF301,Ngôn ngữ hình thức và Otomat,3.9,3
CS110,Kỹ thuật số,6.1,2
CS212,Kiến trúc máy tính,10.0,3
CS224,Lập trình .Net,1.5,3
CS315,Nguyên lý hệ điều hành,5.3,3
IS222,Cơ sở dữ liệu,3.7,3
IS322,Hệ quản trị cơ sở dữ liệu,6.4,3
IS332,Phân tích thiết kế hướng đối tượng,5.4,3
IS333,Phân tích thiết kế hệ thống thông tin,5.2,2
MA110,Giải tích 1,3.4,3
MA111,Giải tích 2,3.9,3
MA120,Đại số tuyến tính,4.4,3
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,8.4,3
MI321,Trí tuệ nhân tạo,1.2,3
NW212,Mạng máy tính,5.0,2
PE201,Tiếng Anh trong tin học 1A,8.6,2
PE302,Tiếng Anh trong tin học 1B,7.4,2
PE303,Tiếng Anh trong tin học 2A,7.8,2
PE404,Tiếng Anh trong tin học 2B,6.6,2
SE302,Công nghệ phần mềm,5.6,2
SE380,Project,6.4,3
SE422,Quản lý dự án phần mềm,6.4,3
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
