Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,5.5,2
CS121,Ngôn ngữ lập trình,7.7,3
CS122,Lập trình hướng đối tượng,6.7,3
CS212A,Kiến trúc máy tính 1,7.0,2
CS311A,Hợp ngữ,7.0,2
EC101,Kinh tế học đại cương,5.6,3
FN201A,Lý thuyết tài chính tiền tệ,5.5,2
GE100,Tiếng Anh cho người mới bắt đầu,5.1,2
GE101A,Tiếng Anh sơ cấp 1,5.6,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,4.3,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GF101,Tiếng Pháp 1,6.3,2
GF102,Tiếng Pháp 2,5.0,2
IS223A,Cơ sở dữ liệu 2,5.0,2
MA100A,Toán 1,9.0,2
MA111A,Giải tích 2A,7.5,2
MA120A,Đại số tuyến tính 1,5.5,2
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,5.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.5,3
NA151,Khoa học môi trường,8.0,2
NW312A,Thiết kế quản trị mạng,5.2,4
NW322A,Lập trình mạng,4.0,4
PG100,Giáo dục thể chất,5.9,4
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,6.8,3
AD211,Văn hóa Hà Nội,8.0,2
BA101,Quản trị học,6.2,2
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS110,Kỹ thuật số,5.5,2
CS212A,Kiến trúc máy tính 1,7.0,2
CS223,Lập trình Java,7.0,3
CS315,Nguyên lý hệ điều hành,6.0,3
CS316,Hệ điều hành Unix,5.2,3
CS325,Lập trình PHP,6.8,3
EC202,Kinh tế vi mô,5.0,2
EC203,Kinh tế vĩ mô,5.0,2
FN211D,Nhập môn tài chính doanh nghiệp,3.0,2
FN221,Tài chính công,7.5,2
IS222,Cơ sở dữ liệu,6.3,3
IS223A,Cơ sở dữ liệu 2,5.0,2
IS322,Hệ quản trị cơ sở dữ liệu,5.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
IS333,Phân tích thiết kế hệ thống thông tin,7.0,2
MA111A,Giải tích 2A,7.5,2
MA120A,Đại số tuyến tính 1,5.5,2
MA142B,Giải tích trong kinh tế,5.5,2
MA212,Phương trình vi phân,7.0,2
MA231,Xác suất thống kê ứng dụng,5.2,4
MI414,Giao diện người máy,6.0,2
MK201,Nguyên lý marketing,7.2,2
MK312,Quản trị thương hiệu,7.0,2
MK423,Quan hệ cộng đồng,9.0,2
NW212,Mạng máy tính,5.6,2
NW312A,Thiết kế quản trị mạng,5.2,4
NW332A,An toàn mạng,6.9,4
NW439,CĐTN: An toàn mạng,8.7,6
PE201,Tiếng Anh trong tin học 1A,5.1,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
SE302,Công nghệ phần mềm,6.0,2
