Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,6.3,2
CS121,Ngôn ngữ lập trình,5.3,3
CS122,Lập trình hướng đối tượng,6.0,3
CS212A,Kiến trúc máy tính 1,5.9,2
CS212B,Kiến trúc máy tính 2,0.0,2
EC101,Kinh tế học đại cương,5.4,3
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,7.3,2
GE102A,Tiếng Anh sơ cấp 2,6.9,2
GE201A,Tiếng Anh sơ trung cấp 1,5.9,2
GJ101,Tiếng Nhật 1,5.5,2
GJ102,Tiếng Nhật 2,1.8,2
MA100A,Toán 1,5.0,2
MA110A,Giải tích 1A,4.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,6.6,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
NA151,Khoa học môi trường,5.0,2
NW312A,Thiết kế quản trị mạng,0.0,4
PG101,GDTC: Lý thuyết,3.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,6.3,1
PG103,GDTC: Thể dục cổ truyền nâng cao,7.0,1
PG121,Giáo dục quốc phòng,6.9,4
SH131,Pháp luật đại cương,8.0,2
AD211,Văn hóa Hà Nội,5.0,2
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS110,Kỹ thuật số,5.4,2
CS224,Lập trình .Net,0.0,3
IS222,Cơ sở dữ liệu,5.6,3
IS332,Phân tích thiết kế hướng đối tượng,6.5,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,2.0,3
MA222,Đại số đại cương,6.9,2
MI201,Toán rời rạc,2.2,3
MI312,Đồ họa,4.0,2
MI414,Giao diện người máy,5.0,2
NW212,Mạng máy tính,2.9,2
PE201,Tiếng Anh trong tin học 1A,6.9,2
PE302,Tiếng Anh trong tin học 1B,7.1,2
PE303,Tiếng Anh trong tin học 2A,6.5,2
PE404,Tiếng Anh trong tin học 2B,7.1,2
