Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,10.0,3
CS100,Tin đại cương,10.0,2
CS101,Công dân số,9.8,2
CS110,Kỹ thuật số,7.8,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,8.6,3
EC102,Nhập môn kinh tế học,9.6,2
GE101,Tiếng Anh sơ cấp 1,5.4,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GE103,Tiếng Anh sơ cấp 3,7.5,2
GE201,Tiếng Anh sơ trung cấp 1,6.3,2
GE202,Tiếng Anh sơ trung cấp 2,8.1,2
GE205,Tiếng Anh sơ trung cấp 3,5.1,2
GE232,Tiếng Anh trung cấp 2,4.9,2
GE301,Tiếng Anh trung cấp 1,4.9,2
GE333,Tiếng Anh trung cấp 3,5.5,2
GZ101,Tiếng Trung 1,9.4,2
GZ102,Tiếng Trung 2,9.0,2
IP405,Thực tập ngành Trí tuệ nhân tạo,7.0,3
IS222,Cơ sở dữ liệu,9.5,3
IT320,Phát triển ứng dụng với Python,9.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA110,Giải tích 1,6.7,3
MA111,Giải tích 2,7.9,3
MA120,Đại số tuyến tính,8.5,3
MA230,Xác suất,7.7,3
MA234,Thống Kê,9.4,2
MI201,Toán rời rạc,10.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,9.0,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.8,2
ML115,Chủ nghĩa xã hội khoa học,9.3,2
ML202,Tư tưởng Hồ Chí Minh,8.9,2
ML204,Lịch sử Đảng,9.6,2
NA151,Khoa học môi trường,10.0,2
NW212,Mạng máy tính,5.7,2
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,8.6,2
AD216,Kỹ năng sống,9.5,3
AD240,Nhiếp ảnh cơ bản,10.0,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,10.0,3
AI310,Học sâu,5.8,3
AI320,Xử lý ngôn ngữ tự nhiên,7.5,3
AI321,Thị giác máy tính,9.5,3
AI499,KLTN ngành Trí tuệ nhân tạo,0.0,6
CF211,Phân tích và thiết kế thuật toán,10.0,2
CS320,Học máy,6.5,3
CS321,Nhập môn khoa học dữ liệu,10.0,2
IS314,Hệ thống thông tin,10.0,3
IS326,Khai phá dữ liệu,7.0,3
IS330,Dữ liệu lớn,9.3,2
MA238,Thống kê nâng cao,6.5,3
MI302,Tối ưu hóa,2.6,2
