Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,7.4,4
BA314A,Quản trị nguồn nhân lực,5.6,2
CS100,Tin đại cương,9.3,2
CS121,Ngôn ngữ lập trình,7.0,3
CS122,Lập trình hướng đối tượng,5.0,3
EC101,Kinh tế học đại cương,7.0,3
FN201A,Lý thuyết tài chính tiền tệ,5.6,2
GE100,Tiếng Anh cho người mới bắt đầu,5.2,2
GE101A,Tiếng Anh sơ cấp 1,6.2,2
GE102A,Tiếng Anh sơ cấp 2,6.5,2
GE201A,Tiếng Anh sơ trung cấp 1,5.8,2
GE202A,Tiếng Anh sơ trung cấp 2,6.1,2
GZ101,Tiếng Trung 1,7.8,2
GZ102,Tiếng Trung 2,5.5,2
IS101,Tin văn phòng,5.8,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA102,Toán cơ sở,2.8,3
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.5,3
ML202,Tư tưởng Hồ Chí Minh,6.5,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.0,3
NA151,Khoa học môi trường,5.5,2
PG100,Giáo dục thể chất,6.8,4
PG121,Giáo dục quốc phòng,5.8,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.0,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.5,3
SH131,Pháp luật đại cương,7.0,2
VL101,Tiếng Việt thực hành,5.3,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,5.6,3
AD211,Văn hóa Hà Nội,7.0,2
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,5.4,3
BK201,Ngân hàng thương mại 1,1.5,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS316,Hệ điều hành Unix,6.7,3
CS325,Lập trình PHP,5.4,3
EC202,Kinh tế vi mô,5.6,2
EC203,Kinh tế vĩ mô,5.5,2
FN211D,Nhập môn tài chính doanh nghiệp,5.0,2
FN221,Tài chính công,5.0,2
IS201,Tin quản lý Access,6.6,3
IS222,Cơ sở dữ liệu,5.0,3
IS314,Hệ thống thông tin,6.2,3
IS322,Hệ quản trị cơ sở dữ liệu,3.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.1,3
IS333,Phân tích thiết kế hệ thống thông tin,6.1,2
IS382,Công nghệ thông tin trong doanh nghiệp,6.9,2
IS487,CĐTN: Hệ thống thông tin quản lý,0.0,6
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.1,4
MA231,Xác suất thống kê ứng dụng,5.0,4
MA241,Toán tài chính,6.0,2
MI312,Đồ họa,0.0,2
MK201,Nguyên lý marketing,7.0,2
MK311,Quản trị Marketing,6.5,3
PE201,Tiếng Anh trong tin học 1A,5.9,2
PE302,Tiếng Anh trong tin học 1B,5.6,2
PE303,Tiếng Anh trong tin học 2A,5.7,2
PE404,Tiếng Anh trong tin học 2B,5.2,2
SE302,Công nghệ phần mềm,5.2,2
