Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.0,3
CS100,Tin đại cương,6.0,2
CS102,Công dân số,7.6,2
CS110,Kỹ thuật số,6.8,2
CS121,Ngôn ngữ lập trình,6.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,6.8,3
EC102,Nhập môn kinh tế học,7.6,2
GE101,Tiếng Anh sơ cấp 1,6.5,2
GE102,Tiếng Anh sơ cấp 2,7.1,2
GE103,Tiếng Anh sơ cấp 3,7.0,2
GE201,Tiếng Anh sơ trung cấp 1,6.8,2
GE202,Tiếng Anh sơ trung cấp 2,5.9,2
GE205,Tiếng Anh sơ trung cấp 3,6.5,2
GE231,Tiếng Anh trung cấp 1,6.8,2
GE232,Tiếng Anh trung cấp 2,2.3,2
GF101,Tiếng Pháp 1,8.1,2
GZ101,Tiếng Trung 1,9.2,2
GZ102,Tiếng Trung 2,6.7,2
IS222,Cơ sở dữ liệu,4.9,3
IS314,Hệ thống thông tin,7.6,3
IS322,Hệ quản trị cơ sở dữ liệu,6.2,3
IS330,Dữ liệu lớn,7.0,2
IS334,Quản lý dự án hệ thống thông tin,8.0,3
IT320,Phát triển ứng dụng với Python,4.0,3
IT333,Công nghệ Web,7.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA104,Số và cấu trúc đại số,5.0,3
MA110,Giải tích 1,5.8,3
MA111,Giải tích 2,5.2,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,5.8,4
MI201,Toán rời rạc,6.3,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML111,Triết học Mác – Lênin,7.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.8,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,9.7,2
NW212,Mạng máy tính,7.3,2
SE302,Công nghệ phần mềm,7.1,2
SH131,Pháp luật đại cương,7.8,2
VL101,Tiếng Việt thực hành,7.5,2
AD215,Ứng dụng PowerPoint,8.1,3
AD216,Kỹ năng sống,9.3,3
AD250,Dinh dưỡng và tiết chế,9.0,3
AD312,Bóng đá,9.0,4
CS223,Lập trình Java,5.9,3
CS224,Lập trình .Net,9.0,3
CS314,Lập trình ứng dụng di động,7.6,2
CS315,Nguyên lý hệ điều hành,7.5,3
IM206,ứng dụng Excel,9.4,2
IP404,Thực tập ngành CNTT,8.5,2
IS332,Phân tích thiết kế hướng đối tượng,6.9,3
IT332,Internet of Things,2.7,2
IT380,Dự án Công nghệ thông tin,2.4,2
IT499,KLTN ngành CNTT,0.0,6
