Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.6,2
CS102,Công dân số,9.3,2
CS121,Ngôn ngữ lập trình,5.3,3
CS122,Lập trình hướng đối tượng,4.6,3
EC102,Nhập môn kinh tế học,8.0,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,5.9,2
GE103,Tiếng Anh sơ cấp 3,5.0,2
GE201,Tiếng Anh sơ trung cấp 1,5.0,2
GE202,Tiếng Anh sơ trung cấp 2,5.4,2
GE205,Tiếng Anh sơ trung cấp 3,5.4,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,0.0,2
IS314,Hệ thống thông tin,0.0,3
IS330,Dữ liệu lớn,4.4,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.7,3
MA104,Số và cấu trúc đại số,3.8,3
MA239,Xác suất thống kê,3.0,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.5,2
ML115,Chủ nghĩa xã hội khoa học,8.0,2
ML202,Tư tưởng Hồ Chí Minh,8.3,2
ML204,Lịch sử Đảng,6.7,2
NA151,Khoa học môi trường,9.2,2
PG100,Giáo dục thể chất,7.6,4
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,9.3,2
VL101,Tiếng Việt thực hành,8.6,2
CF212,Cấu trúc dữ liệu,2.6,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,9.0,2
CS212,Kiến trúc máy tính,4.2,3
CS315,Nguyên lý hệ điều hành,8.3,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS222,Cơ sở dữ liệu,5.8,3
IS322,Hệ quản trị cơ sở dữ liệu,2.1,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
IS345,An toàn thông tin,0.0,3
MA110,Giải tích 1,4.0,3
MA111,Giải tích 2,3.9,3
MA120,Đại số tuyến tính,7.0,3
MI201,Toán rời rạc,6.1,3
NW212,Mạng máy tính,6.5,2
