Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.3,2
CS110,Kỹ thuật số,2.7,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,6.5,2
GE102,Tiếng Anh sơ cấp 2,5.3,2
GE103,Tiếng Anh sơ cấp 3,2.4,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.4,3
MA104,Số và cấu trúc đại số,-1.0,3
MA110,Giải tích 1,1.6,3
MA120,Đại số tuyến tính,5.5,3
ML113,Triết học Mác - Lênin,6.8,3
ML114,Kinh tế chính trị Mác - Lênin,2.5,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
NA151,Khoa học môi trường,3.3,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,5.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,2.4,2
