Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.8,2
CS102,Công dân số,4.3,2
CS121,Ngôn ngữ lập trình,6.4,3
CS122,Lập trình hướng đối tượng,2.6,3
EC102,Nhập môn kinh tế học,6.6,2
GE111,Tiếng Anh sơ cấp 1,6.5,2
GE112,Tiếng Anh sơ cấp 2,6.1,2
GE121,Tiếng Anh sơ trung cấp 1,5.7,2
GE222,Tiếng Anh sơ trung cấp 2,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.9,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,7.2,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML204,Lịch sử Đảng,0.0,2
NA151,Khoa học môi trường,0.0,2
PG110,GDTC: Bơi cơ bản,10.0,1
PG113,GDTC: Bóng rổ cơ bản,4.0,1
PG121,Giáo dục quốc phòng,6.4,4
SH131,Pháp luật đại cương,6.9,2
VL101,Tiếng Việt thực hành,5.1,2
CS110,Kỹ thuật số,3.3,2
CS212,Kiến trúc máy tính,5.8,3
IS222,Cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,3.7,3
MA120,Đại số tuyến tính,4.0,3
MI201,Toán rời rạc,0.0,3
