Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,9.0,3
CS100,Tin đại cương,4.1,2
CS102,Công dân số,7.4,2
CS110,Kỹ thuật số,6.2,2
CS121,Ngôn ngữ lập trình,7.4,3
CS122,Lập trình hướng đối tượng,7.3,3
CS212,Kiến trúc máy tính,6.6,3
EC101,Kinh tế học đại cương,6.6,3
EC102,Nhập môn kinh tế học,4.7,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,8.0,2
GE103,Tiếng Anh sơ cấp 3,5.2,2
GE201,Tiếng Anh sơ trung cấp 1,8.3,2
GE202,Tiếng Anh sơ trung cấp 2,8.1,2
GE205,Tiếng Anh sơ trung cấp 3,5.5,2
GE301,Tiếng Anh trung cấp 1,4.9,2
GE303,Tiếng Anh trung cấp 2,2.0,2
GE333,Tiếng Anh trung cấp 3,2.1,2
GF101,Tiếng Pháp 1,8.1,2
GF102,Tiếng Pháp 2,3.0,2
IS222,Cơ sở dữ liệu,7.0,3
IS314,Hệ thống thông tin,7.2,3
IS322,Hệ quản trị cơ sở dữ liệu,4.7,3
IS330,Dữ liệu lớn,8.0,2
IS334,Quản lý dự án hệ thống thông tin,7.8,3
IT333,Công nghệ Web,2.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.4,3
MA104,Số và cấu trúc đại số,6.7,3
MA110,Giải tích 1,8.0,3
MA111,Giải tích 2,2.3,3
MA120,Đại số tuyến tính,5.8,3
MA231,Xác suất thống kê ứng dụng,2.4,4
MI201,Toán rời rạc,1.9,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML113,Triết học Mác - Lênin,8.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.1,2
ML115,Chủ nghĩa xã hội khoa học,9.6,2
ML202,Tư tưởng Hồ Chí Minh,9.9,2
ML204,Lịch sử Đảng,9.6,2
NA151,Khoa học môi trường,8.3,2
NW212,Mạng máy tính,5.1,2
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SE302,Công nghệ phần mềm,7.5,2
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,6.3,2
AD216,Kỹ năng sống,8.3,3
AD312,Bóng đá,7.1,4
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS224,Lập trình .Net,6.0,3
CS315,Nguyên lý hệ điều hành,10.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
IT332,Internet of Things,-1.0,2
