Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,3.2,3
CS100,Tin đại cương,5.0,2
CS102,Công dân số,5.1,2
CS110,Kỹ thuật số,5.0,2
CS121,Ngôn ngữ lập trình,6.0,3
CS122,Lập trình hướng đối tượng,4.6,3
CS212,Kiến trúc máy tính,1.4,3
EC102,Nhập môn kinh tế học,4.3,2
GE101,Tiếng Anh sơ cấp 1,5.9,2
GE102,Tiếng Anh sơ cấp 2,4.3,2
GE103,Tiếng Anh sơ cấp 3,5.3,2
GE201,Tiếng Anh sơ trung cấp 1,4.9,2
GE202,Tiếng Anh sơ trung cấp 2,5.9,2
GE205,Tiếng Anh sơ trung cấp 3,2.0,2
GE301,Tiếng Anh trung cấp 1,-1.0,2
GF101,Tiếng Pháp 1,3.0,2
GK101,Tiếng Hàn 1,3.1,2
IS222,Cơ sở dữ liệu,5.6,3
IS314,Hệ thống thông tin,6.7,3
IS322,Hệ quản trị cơ sở dữ liệu,4.7,3
IS330,Dữ liệu lớn,7.3,2
IS334,Quản lý dự án hệ thống thông tin,7.8,3
IT333,Công nghệ Web,2.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.1,3
MA104,Số và cấu trúc đại số,5.5,3
MA110,Giải tích 1,4.6,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.8,3
MA239,Xác suất thống kê,3.5,4
MI201,Toán rời rạc,4.6,3
ML113,Triết học Mác - Lênin,7.8,3
ML114,Kinh tế chính trị Mác - Lênin,8.0,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,7.9,2
ML204,Lịch sử Đảng,9.0,2
NA151,Khoa học môi trường,8.3,2
NW212,Mạng máy tính,5.5,2
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,6.8,2
AD213,Hát – Nhạc,9.0,3
AD241,Dẫn chương trình (MC),9.5,3
CF211,Phân tích và thiết kế thuật toán,2.1,2
CS314,Lập trình ứng dụng di động,1.4,2
CS315,Nguyên lý hệ điều hành,10.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
