Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.9,3
CS100,Tin đại cương,5.4,2
CS102,Công dân số,6.1,2
CS110,Kỹ thuật số,7.9,2
CS121,Ngôn ngữ lập trình,6.9,3
CS122,Lập trình hướng đối tượng,4.8,3
CS212,Kiến trúc máy tính,6.1,3
EC102,Nhập môn kinh tế học,5.4,2
GE101,Tiếng Anh sơ cấp 1,5.0,2
GE102,Tiếng Anh sơ cấp 2,6.9,2
GE103,Tiếng Anh sơ cấp 3,7.6,2
GE201,Tiếng Anh sơ trung cấp 1,6.4,2
GE202,Tiếng Anh sơ trung cấp 2,7.5,2
GE205,Tiếng Anh sơ trung cấp 3,5.1,2
GE232,Tiếng Anh trung cấp 2,-1.0,2
GE301,Tiếng Anh trung cấp 1,4.7,2
GE303,Tiếng Anh trung cấp 2,-1.0,2
GZ101,Tiếng Trung 1,4.5,2
GZ102,Tiếng Trung 2,5.3,2
IS222,Cơ sở dữ liệu,7.2,3
IS314,Hệ thống thông tin,8.0,3
IS322,Hệ quản trị cơ sở dữ liệu,4.7,3
IS334,Quản lý dự án hệ thống thông tin,2.5,3
IT320,Phát triển ứng dụng với Python,8.3,3
IT333,Công nghệ Web,8.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.5,3
MA104,Số và cấu trúc đại số,3.6,3
MA110,Giải tích 1,7.3,3
MA111,Giải tích 2,6.1,3
MA120,Đại số tuyến tính,5.8,3
MA231,Xác suất thống kê ứng dụng,6.1,4
MI201,Toán rời rạc,4.8,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML113,Triết học Mác - Lênin,7.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.5,2
ML115,Chủ nghĩa xã hội khoa học,9.5,2
ML202,Tư tưởng Hồ Chí Minh,8.8,2
ML204,Lịch sử Đảng,8.9,2
NA151,Khoa học môi trường,8.9,2
NW212,Mạng máy tính,4.7,2
SE302,Công nghệ phần mềm,8.2,2
SH131,Pháp luật đại cương,6.4,2
VL101,Tiếng Việt thực hành,8.1,2
AD215,Ứng dụng PowerPoint,8.5,3
AD216,Kỹ năng sống,9.9,3
CS314,Lập trình ứng dụng di động,6.0,2
CS315,Nguyên lý hệ điều hành,8.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.8,3
IT332,Internet of Things,2.9,2
IT380,Dự án Công nghệ thông tin,10.0,2
MI312,Đồ họa,6.2,2
