Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.0,2
CS121,Ngôn ngữ lập trình,6.5,3
CS122,Lập trình hướng đối tượng,2.1,3
GE111,Tiếng Anh sơ cấp 1,4.7,2
GE112,Tiếng Anh sơ cấp 2,4.4,2
GE121,Tiếng Anh sơ trung cấp 1,4.3,2
GE222,Tiếng Anh sơ trung cấp 2,4.7,2
GZ101,Tiếng Trung 1,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA104,Số và cấu trúc đại số,3.3,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,7.6,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.4,2
NA151,Khoa học môi trường,7.9,2
PG100,Giáo dục thể chất,8.8,4
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,7.8,2
VL101,Tiếng Việt thực hành,6.7,2
CS110,Kỹ thuật số,7.1,2
CS212,Kiến trúc máy tính,3.0,3
IS222,Cơ sở dữ liệu,5.5,3
MA110,Giải tích 1,0.0,3
MA120,Đại số tuyến tính,5.1,3
MI201,Toán rời rạc,0.0,3
NW212,Mạng máy tính,0.0,2
