Mã HP,Tên HP,Điểm,Số TC
AD204A,Ẩm thực Việt Nam,8.0,3
CF320,Tín hiệu và hệ thống,-1.0,3
CS100,Tin đại cương,5.3,2
CS121,Ngôn ngữ lập trình,1.2,3
CS122,Lập trình hướng đối tượng,1.7,3
EC102,Nhập môn kinh tế học,4.0,2
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,9.5,2
GE102A,Tiếng Anh sơ cấp 2,8.9,2
GE201A,Tiếng Anh sơ trung cấp 1,7.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.6,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,6.2,2
GJ101,Tiếng Nhật 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,6.4,0
IM201,Kỹ năng soạn thảo VB (MS office),6.3,3
IM203,Ứng dụng Excel,9.3,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",3.5,3
MA103,Số và cấu trúc đại số,5.0,2
MA300,Toán chuyên ngành truyền thông dữ liệu,5.5,3
ML111,Triết học Mác – Lênin,6.8,2
ML112,Kinh tế chính trị và CNXH khoa học,5.5,3
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.3,3
NA151,Khoa học môi trường,6.9,2
PE304,Tiếng Anh trong tin học 1,6.9,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,7.9,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,5.2,2
TC300,Mô hình hóa và mô phỏng,1.2,3
TC418,Lập trình nhúng,1.2,2
VL101,Tiếng Việt thực hành,5.3,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,5.0,3
AD215,Ứng dụng PowerPoint,8.2,3
AD312,Bóng đá,4.0,4
CF212,Cấu trúc dữ liệu,-1.0,3
CF231,Lý thuyết thông tin và mã hóa,5.6,2
CF321,Xử lý tín hiệu số,-1.0,3
CS110,Kỹ thuật số,5.7,2
CS212,Kiến trúc máy tính,-1.0,3
ET220,Lý thuyết mạch,3.0,3
IS222,Cơ sở dữ liệu,6.7,3
MA110,Giải tích 1,1.9,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.6,3
MA231,Xác suất thống kê ứng dụng,3.6,4
MI201,Toán rời rạc,5.0,3
PE201,Tiếng Anh trong tin học 1A,-1.0,2
PE302,Tiếng Anh trong tin học 1B,6.4,2
PE404,Tiếng Anh trong tin học 2B,5.8,2
SM201,Phương pháp luận nghiên cứu khoa học,7.2,3
TC311,Kỹ thuật truyền tin,-1.0,3
