Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,-1.0,3
CS100,Tin đại cương,5.5,2
CS102,Công dân số,7.6,2
CS121,Ngôn ngữ lập trình,3.8,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,6.8,2
GE101,Tiếng Anh sơ cấp 1,6.4,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GE103,Tiếng Anh sơ cấp 3,5.5,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
GZ101,Tiếng Trung 1,4.9,2
GZ102,Tiếng Trung 2,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.1,3
MA239,Xác suất thống kê,0.0,4
ML113,Triết học Mác - Lênin,9.2,3
ML114,Kinh tế chính trị Mác - Lênin,7.2,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,9.3,2
ML204,Lịch sử Đảng,7.5,2
NA151,Khoa học môi trường,8.8,2
PG121,Giáo dục quốc phòng,6.1,4
SH131,Pháp luật đại cương,9.5,2
VL101,Tiếng Việt thực hành,6.6,2
CS110,Kỹ thuật số,7.0,2
CS212,Kiến trúc máy tính,-1.0,3
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,0.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,6.1,3
