Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,8.6,3
CS100,Tin đại cương,10.0,2
CS110,Kỹ thuật số,9.4,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,8.3,3
EC102,Nhập môn kinh tế học,9.4,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,6.6,2
GE201,Tiếng Anh sơ trung cấp 1,6.3,2
GE202,Tiếng Anh sơ trung cấp 2,6.1,2
GE205,Tiếng Anh sơ trung cấp 3,5.7,2
GE231,Tiếng Anh trung cấp 1,5.5,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,7.7,2
GJ102,Tiếng Nhật 2,0.0,2
IP405,Thực tập ngành Trí tuệ nhân tạo,0.0,3
IS222,Cơ sở dữ liệu,6.6,3
IT320,Phát triển ứng dụng với Python,7.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.4,3
MA110,Giải tích 1,4.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,6.7,3
MA239,Xác suất thống kê,6.6,4
MI201,Toán rời rạc,9.6,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,8.1,2
ML204,Lịch sử Đảng,8.6,2
NA151,Khoa học môi trường,9.1,2
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,8.8,2
AD216,Kỹ năng sống,9.7,3
AD240,Nhiếp ảnh cơ bản,10.0,3
AD243,Hội họa cơ bản,9.7,3
AI130,Nhập môn trí tuệ nhân tạo,8.0,3
AI220,Các công cụ lập trình trí tuệ nhân tạo,9.1,3
AI320,Xử lý ngôn ngữ tự nhiên,7.6,3
CF211,Phân tích và thiết kế thuật toán,10.0,2
CS320,Học máy,0.0,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS314,Hệ thống thông tin,0.0,3
IS330,Dữ liệu lớn,8.6,2
MA238,Thống kê nâng cao,6.1,3
MI302,Tối ưu hóa,3.1,2
