Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.6,2
CS102,Công dân số,8.4,2
CS121,Ngôn ngữ lập trình,6.0,3
CS122,Lập trình hướng đối tượng,6.0,3
EC101,Kinh tế học đại cương,8.9,3
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,10.0,2
GE103,Tiếng Anh sơ cấp 3,10.0,2
GE201,Tiếng Anh sơ trung cấp 1,10.0,2
GE202,Tiếng Anh sơ trung cấp 2,10.0,2
GE205,Tiếng Anh sơ trung cấp 3,10.0,2
GE301,Tiếng Anh trung cấp 1,7.8,2
GE303,Tiếng Anh trung cấp 2,8.4,2
GE305,Tiếng Anh trung cấp 3,8.8,2
GK101,Tiếng Hàn 1,9.2,2
GK102,Tiếng Hàn 2,8.1,2
IS317,Hạ tầng công nghệ thông tin,9.3,2
IS325,Cơ sở dữ liệu phân tán,5.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.1,3
MA103,Số và cấu trúc đại số,8.0,2
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.0,3
ML111,Triết học Mác – Lênin,9.8,2
ML112,Kinh tế chính trị và CNXH khoa học,10.0,3
ML202,Tư tưởng Hồ Chí Minh,9.9,2
ML204,Lịch sử Đảng,9.7,2
NA151,Khoa học môi trường,9.5,2
PG100,Giáo dục thể chất,7.5,4
PG121,Giáo dục quốc phòng,7.7,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.3,3
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,9.2,2
AD215,Ứng dụng PowerPoint,9.1,3
AD216,Kỹ năng sống,10.0,3
CF212,Cấu trúc dữ liệu,8.0,3
CS110,Kỹ thuật số,9.1,2
CS212,Kiến trúc máy tính,10.0,3
CS315,Nguyên lý hệ điều hành,8.5,3
IP403,Thực tập ngành Hệ thống thông tin,9.5,2
IS222,Cơ sở dữ liệu,9.2,3
IS314,Hệ thống thông tin,7.5,3
IS315,Mô hình hóa quy trình nghiệp vụ,8.6,2
IS322,Hệ quản trị cơ sở dữ liệu,9.5,3
IS326,Khai phá dữ liệu,8.0,3
IS327,Kho dữ liệu,9.2,3
IS332,Phân tích thiết kế hướng đối tượng,6.9,3
IS334,Quản lý dự án hệ thống thông tin,8.7,3
IS383,Hệ thống thông tin nâng cao,8.5,2
IS480,Kiến trúc doanh nghiệp,8.0,3
MA110,Giải tích 1,8.5,3
MA111,Giải tích 2,9.3,3
MA120,Đại số tuyến tính,9.2,3
MA231,Xác suất thống kê ứng dụng,8.0,4
MI201,Toán rời rạc,8.0,3
NW212,Mạng máy tính,9.0,2
SE302,Công nghệ phần mềm,10.0,2
SE487,CĐTN: Phát triển phần mềm,9.2,6
