Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,-1.0,2
CS102,Công dân số,7.1,2
CS110,Kỹ thuật số,2.4,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS212,Kiến trúc máy tính,2.2,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,5.3,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,7.4,2
GE103,Tiếng Anh sơ cấp 3,7.5,2
GE201,Tiếng Anh sơ trung cấp 1,6.2,2
GE202,Tiếng Anh sơ trung cấp 2,6.4,2
GE205,Tiếng Anh sơ trung cấp 3,5.3,2
GE232,Tiếng Anh trung cấp 2,-1.0,2
GE301,Tiếng Anh trung cấp 1,6.4,2
GJ101,Tiếng Nhật 1,5.5,2
GJ102,Tiếng Nhật 2,3.9,2
GZ101,Tiếng Trung 1,4.0,2
GZ102,Tiếng Trung 2,1.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.8,3
MA104,Số và cấu trúc đại số,2.1,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
ML111,Triết học Mác – Lênin,7.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML113,Triết học Mác - Lênin,6.5,3
ML114,Kinh tế chính trị Mác - Lênin,5.4,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML202,Tư tưởng Hồ Chí Minh,6.4,2
ML204,Lịch sử Đảng,7.5,2
NA151,Khoa học môi trường,7.0,2
NW212,Mạng máy tính,-1.0,2
SH131,Pháp luật đại cương,5.0,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.0,3
AD214,Nâng cao chất lượng giọng hát,8.0,3
AD215,Ứng dụng PowerPoint,5.1,3
AD241,Dẫn chương trình (MC),9.2,3
AD250,Dinh dưỡng và tiết chế,3.4,3
AD314,Nhảy hiện đại,-1.0,4
CF301,Ngôn ngữ hình thức và Otomat,3.8,3
CS315,Nguyên lý hệ điều hành,8.0,3
IM206,ứng dụng Excel,4.4,2
IP404,Thực tập ngành CNTT,0.0,2
