Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,7.3,3
CS100,Tin đại cương,6.9,2
CS102,Công dân số,6.8,2
CS110,Kỹ thuật số,7.4,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,4.0,3
CS212,Kiến trúc máy tính,5.4,3
EC102,Nhập môn kinh tế học,8.7,2
GE101,Tiếng Anh sơ cấp 1,6.9,2
GE102,Tiếng Anh sơ cấp 2,6.9,2
GE103,Tiếng Anh sơ cấp 3,6.2,2
GE201,Tiếng Anh sơ trung cấp 1,6.7,2
GE202,Tiếng Anh sơ trung cấp 2,6.2,2
GE205,Tiếng Anh sơ trung cấp 3,5.6,2
GE231,Tiếng Anh trung cấp 1,5.6,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,9.6,2
GJ102,Tiếng Nhật 2,9.5,2
IS222,Cơ sở dữ liệu,9.7,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.9,3
MA104,Số và cấu trúc đại số,7.2,3
MA110,Giải tích 1,4.6,3
MA111,Giải tích 2,5.8,3
MA120,Đại số tuyến tính,7.4,3
MA239,Xác suất thống kê,5.1,4
MI201,Toán rời rạc,9.8,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML204,Lịch sử Đảng,7.4,2
NA151,Khoa học môi trường,8.6,2
NW212,Mạng máy tính,7.7,2
PG122,GDQP: Đường lối quân sự của Đảng,2.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,2.0,1
PG125,GDQP: Kỹ thuật bắn súng,7.0,1
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,8.5,2
AD241,Dẫn chương trình (MC),0.0,3
CS314,Lập trình ứng dụng di động,5.9,2
CS315,Nguyên lý hệ điều hành,7.6,3
IS332,Phân tích thiết kế hướng đối tượng,7.8,3
