Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,9.3,2
CS121,Ngôn ngữ lập trình,7.9,3
CS122,Lập trình hướng đối tượng,2.5,3
GE100,Tiếng Anh cho người mới bắt đầu,6.2,2
GE101A,Tiếng Anh sơ cấp 1,5.8,2
GE102A,Tiếng Anh sơ cấp 2,7.4,2
GE201A,Tiếng Anh sơ trung cấp 1,6.2,2
GE202A,Tiếng Anh sơ trung cấp 2,5.6,2
GZ101,Tiếng Trung 1,0.0,2
MA102,Toán cơ sở,3.1,3
ML111,Triết học Mác – Lênin,1.0,2
ML112,Kinh tế chính trị và CNXH khoa học,0.0,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,0.0,1
PG110,GDTC: Bơi cơ bản,10.0,1
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,6.3,2
MA120,Đại số tuyến tính,-1.0,3
