Mã HP,Tên HP,Điểm,Số TC
CF321A,Xử lý tín hiệu số,5.4,2
CS100,Tin đại cương,6.3,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,5.0,2
GE100,Tiếng Anh cho người mới bắt đầu,-1.0,2
GE100A,Tiếng Anh cho người mới bắt đầu,0.0,0
GE101A,Tiếng Anh sơ cấp 1,4.4,2
GE102A,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,5.0,2
GJ102,Tiếng Nhật 2,1.7,2
MA102,Toán cơ sở,5.4,3
MA103,Số và cấu trúc đại số,2.2,2
ML111,Triết học Mác – Lênin,6.5,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.6,3
NA151,Khoa học môi trường,1.2,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,6.6,1
PG113,GDTC: Bóng rổ cơ bản,6.2,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,7.9,1
PG121,Giáo dục quốc phòng,6.2,4
SH131,Pháp luật đại cương,-1.0,2
TC313,Kỹ thuật truyền dẫn,6.3,3
TC315,Công nghệ mạng truyền thông,6.6,3
TC473,Quản lý mạng viễn thông,9.0,3
VL101,Tiếng Việt thực hành,6.7,2
AD204,Ẩm thực Việt nam,9.0,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,5.0,3
CF212,Cấu trúc dữ liệu,5.7,3
CF231,Lý thuyết thông tin và mã hóa,3.1,2
CS110,Kỹ thuật số,4.3,2
CS211,Vi điều khiển và ứng dụng,5.0,3
CS212,Kiến trúc máy tính,7.2,3
CS315,Nguyên lý hệ điều hành,6.0,3
CS316,Hệ điều hành Unix,5.6,3
ET220,Lý thuyết mạch,5.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,6.1,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,-1.0,3
MI312,Đồ họa,-1.0,2
NW212,Mạng máy tính,5.0,2
NW312,Thiết kế và quản trị mạng,-1.0,3
NW332,An toàn mạng,-1.0,3
SM201,Phương pháp luận nghiên cứu khoa học,6.3,3
TC311,Kỹ thuật truyền tin,6.0,3
TC314,Kỹ thuật kết nối mạng,-1.0,3
TC403,Mạng truy nhập,-1.0,2
