Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
24,MA102,Toán cơ sở,3,TI,1
24,CS100,Tin đại cương,2,TI,1
24,MA110,Giải tích 1,3,TI,1
24,MA111,Giải tích 2,3,TI,1
24,MA120,Đại số tuyến tính,3,TI,1
24,MA231,Xác suất thống kê ứng dụng,3,TI,1
24,MI201,Toán rời rạc,3,TI,1
24,CF212,Cấu trúc dữ liệu,4,TI,1
24,CS110,Kỹ thuật số 1,2,TI,1
24,CS121,Ngôn ngữ lập trình 1,3,TI,1
24,CS122,Ngôn ngữ lập trình 2,3,TI,1
24,CS212,Kiến trúc máy tính,3,TI,1
24,CS315,Nguyên lý hệ điều hành,3,TI,1
24,IS222,Cơ sở dữ liệu,3,TI,1
24,NW212,Mạng máy tính,2,TI,1
24,MI311,Mã hóa và an toàn dữ liệu,2,TI,1
24,MI312,Đồ họa,2,TI,1
24,IS332,Phân tích thiết kế hướng đối tượng,2,TI,1
24,SE302,Công nghệ phần mềm,2,TI,1
24,MI321,Trí tuệ nhân tạo,3,TI,1
24,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
24,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
24,IS381,Hệ thống thông tin quản lý,3,TI,1
24,IS424,Lập trình cơ sở dữ liệu,3,TI,1
24,NW312,Thiết kế và quản trị mạng,3,TI,1
24,NW322,Lập trình mạng,3,TI,1
24,NW332,An toàn mạng,3,TI,1
24,CS324,Kỹ thuật lập trình,2,TI,1
24,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
24,SE422,Quản lý dự án phần mềm,3,TI,1
24,SM201,Phương pháp luận nghiên cứu khoa học,3,TI,0
24,CF201,Lý thuyết thuật toán,3,TI,0
24,CS312,Lập trình hệ thống,2,TI,0
24,CS316,Hệ điều hành Unix,3,TI,0
24,MI414,Giao diện người máy,2,TI,0
24,CS322,Chương trình dịch,2,TI,0
24,CS325,Lập trình Web,3,TI,0
24,CS223,Lập trình Java cơ bản,3,TI,0
24,CS224,Lập trình .Net cơ bản,3,TI,0
24,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
24,GP485,KLTN ngành Khoa học máy tính,6,TI,1
24,CS428,CĐTN: Công nghệ Java,6,TI,1
24,CS429,CĐTN: Công nghệ .Net,6,TI,1
24,IS487,CĐTN: Hệ thống thông tin quản lý,6,TI,1
24,NW439,CĐTN: An toàn mạng,6,TI,1
24,SE487,CĐTN: Phát triển phần mềm,6,TI,1
24,IS484,CĐTN: Cơ sở dữ liệu,6,TI,1
24,MA102,Toán cơ sở,3,TC,1
24,CS100,Tin đại cương,2,TC,1
24,MA110,Giải tích 1,3,TC,1
24,MA111,Giải tích 2,3,TC,1
24,MA120,Đại số tuyến tính,3,TC,1
24,MA231,Xác suất thống kê ứng dụng,3,TC,1
24,MI201,Toán rời rạc,3,TC,1
24,CF212,Cấu trúc dữ liệu,4,TC,1
24,CS110,Kỹ thuật số 1,2,TC,1
24,CS121,Ngôn ngữ lập trình 1,3,TC,1
24,CS122,Ngôn ngữ lập trình 2,3,TC,1
24,CS212,Kiến trúc máy tính,3,TC,1
24,CS315,Nguyên lý hệ điều hành,3,TC,1
24,IS222,Cơ sở dữ liệu,3,TC,1
24,NW212,Mạng máy tính,2,TC,1
24,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
24,CF321,Xử lý tín hiệu số,2,TC,1
